m/z,I,S/N,Res.
138.513619,900100,3.3,1597919
139.1843,913446,3.3,1758404
139.248593,845417,3,1221113
139.313747,879112,3.2,1261634
139.88583,857692,3.1,628169
140.00675,922729,3.4,1508174
140.265136,914169,3.3,1232759
140.756755,883743,3.2,1507907
143.273057,860532,3.1,1251583
143.318377,849460,3,1539330
144.013919,915675,3.3,1256036
144.671179,918147,3.4,1107936
144.843132,879004,3.2,1236757
144.92649,854292,3,1050637
145.052668,909950,3.3,1126971
145.67978,898098,3.3,1405495
146.724585,883376,3.2,1070245
147.450971,865359,3.1,1560842
148.668331,856811,3.1,1386140
149.338663,856190,3.1,1057697
150.05859,904767,3.3,1248218
150.213391,859354,3.1,1115340
151.247756,898011,3.3,1042069
151.510615,939860,3.5,908952
151.911204,877788,3.2,1089903
152.17002,912127,3.3,1079165
153.979742,879907,3.2,846401
155.036956,885941,3.2,653378
156.465781,884278,3.2,1084895
156.596356,877674,3.2,1120120
157.150416,916036,3.3,981780
157.195213,845732,3,949808
157.415776,887216,3.2,1075862
158.295248,935077,3.4,1483392
158.954151,931980,3.4,1093732
159.981327,942394,3.5,1007560
160.462706,974682,3.6,1103671
161.799272,876097,3.2,1355219
162.236836,898113,3.3,1317370
163.301988,906562,3.3,848196
164.603152,878613,3.2,1146428
165.478302,882879,3.2,838816
166.534325,847964,3,1009292
169.337176,891981,3.2,1106998
171.099168,858269,3.1,877990
172.352821,1159595,4.5,1130617
172.684912,1648207,6.9,1138678
172.685429,1739887,7.3,598337
172.734963,1310352,5.3,1013201
174.371834,5404807,25.1,1038967
175.019899,882225,3.2,862989
175.563175,878058,3.2,1016801
175.766251,860558,3.1,1109291
176.03267,851163,3,817690
176.414013,887785,3.2,1106624
177.063296,848598,3,1277068
179.977166,865460,3.1,841736
182.037994,931816,3.4,822052
183.044749,852899,3,888225
183.40455,867917,3.1,887936
184.000923,1148574,4.5,917497
184.002003,915230,3.3,1073154
188.148449,888928,3.2,1041073
188.375142,855752,3,816893
189.448539,1746381,7.3,926717
190.206546,943688,3.5,1040314
191.914277,954791,3.5,887199
193.519403,927382,3.4,744305
196.16524,908466,3.3,939196
196.584963,857092,3,889893
197.27796,1035330,3.9,929435
199.197731,903254,3.3,929173
199.816193,916466,3.3,860762
200.974565,895207,3.2,858414
202.390231,1479465,6,869424
205.115805,894765,3.2,736523
205.637453,896391,3.2,930494
206.643787,897209,3.2,787518
207.185175,912020,3.3,1064564
207.335295,858716,3,371722
208.644759,877791,3.1,627709
209.577854,858575,3,936170
210.353496,858488,3,934500
210.881049,873491,3.1,932774
211.623629,964154,3.5,877395
211.768236,852226,3,865957
212.051601,865329,3.1,707192
213.632534,927782,3.4,879606
214.312598,871051,3.1,827896
214.616108,957243,3.5,645532
215.847485,920926,3.3,798102
216.090973,891371,3.2,724340
219.49846,866792,3.1,881037
222.981786,886572,3.2,812548
224.844036,853461,3,787936
225.290109,904047,3.2,821509
226.900204,855882,3,830068
228.146503,925457,3.3,763929
229.362307,961430,3.5,848743
230.098854,856512,3,776840
230.671969,937985,3.4,471339
232.802459,871258,3.1,830731
238.30398,867471,3.1,709271
244.367487,859480,3,710959
245.641496,945820,3.4,562582
246.130805,899702,3.2,659156
246.519959,862026,3,362858
246.854807,938267,3.4,643145
246.954695,955681,3.5,648136
248.230916,1029091,3.8,756881
248.293348,880294,3.1,745369
248.924022,862983,3,619276
249.836662,860022,3,497055
251.029903,873523,3.1,619728
253.883973,867780,3,578932
255.560298,870424,3,749264
257.249853,924590,3.3,836256
258.367482,888295,3.1,611350
259.097993,896652,3.2,659245
260.137755,899137,3.2,684762
261.839979,911256,3.2,363015
262.23501,873004,3,640784
268.302531,961771,3.4,728303
269.676577,1070518,3.9,655418
270.026003,881289,3.1,605120
270.867556,877815,3,619253
272.60979,990297,3.6,626672
274.352036,918204,3.2,600414
275.587511,873220,3,497103
276.186349,6463912,29.1,664710
278.253719,876132,3,510149
279.759294,901633,3.1,725007
281.660064,962426,3.4,709517
284.575911,878011,3,751861
286.361259,879670,3,506498
291.178458,896534,3.1,678557
293.176033,983602,3.5,842417
295.118876,901776,3.1,581537
296.430752,897597,3.1,579437
297.098154,933366,3.2,585033
297.153111,1290107,4.9,466770
298.625394,994043,3.5,456703
299.077512,934692,3.2,806978
299.189623,921134,3.2,521363
299.296781,918839,3.2,515478
299.341772,897083,3.1,602343
299.439744,919876,3.2,579315
299.786185,934755,3.2,584462
300.193084,1461384,5.6,618110
301.09307,968795,3.4,634949
302.944775,890507,3,465331
303.087588,992537,3.5,544215
303.978733,929520,3.2,578141
304.91628,893709,3,499811
305.066932,1285980,4.8,690274
305.103325,935520,3.2,763766
306.907354,1621785,6.3,585875
307.046109,1646887,6.5,624134
307.082481,1802795,7.2,609065
307.118903,1633327,6.4,512455
309.02544,1097851,4,461097
309.06178,2734591,11.4,551294
309.098195,3390979,14.4,497995
309.134611,2145287,8.7,614271
310.101616,932722,3.2,872166
311.041085,1476315,5.7,530955
311.077429,3601632,15.4,531774
311.113866,5114084,22.3,551661
311.150167,1813224,7.2,618546
311.168855,18418922,83,533293
312.117122,1018583,3.5,595083
312.17224,3435357,14.4,400116
313.056691,2359237,9.6,563637
313.071881,1097415,3.9,579069
313.093097,4625865,19.8,561391
313.128668,1479374,5.6,710727
313.129494,3429838,14.4,567617
314.172266,1194058,4.3,449459
314.208758,3499087,14.7,465356
315.05111,1224374,4.5,571437
315.072361,2531000,10.3,528561
315.087546,1493946,5.7,650679
315.108778,2285501,9.2,343037
315.145181,1845953,7.3,586082
315.167682,1551044,5.9,547870
315.181434,981702,3.4,714657
316.187981,2371139,9.6,449367
317.030509,2033582,8.1,615059
317.051659,1130928,4,482600
317.066815,2952626,12.2,610390
317.088081,1076149,3.8,660898
317.103333,2676663,11,607781
317.124476,944314,3.2,605933
317.139587,1051836,3.7,276642
318.167209,1371201,5.1,566696
319.009791,1002160,3.4,312620
319.046142,3462837,14.3,547995
319.082549,3722426,15.5,511100
319.118876,3041982,12.5,507551
319.155403,1359043,5,395536
320.742795,1294746,4.7,538534
320.922938,7440819,32,503617
321.025361,2939841,12,518875
321.061758,5466566,23.2,513950
321.098188,5429707,23,509959
321.134521,4380112,18.4,490096
321.170913,1648853,6.3,539317
321.922447,1529150,5.7,627116
322.10155,1344855,4.9,695666
322.138003,1113180,3.9,610050
322.739924,1618610,6.1,474052
322.919742,1442251,5.4,623387
323.00459,971479,3.3,459674
323.039988,1417180,5.2,455313
323.041045,4852445,20.5,520851
323.07746,8463074,36.5,526078
323.113812,8800999,38,517938
323.150254,4608748,19.4,512698
323.186559,963697,3.2,535038
324.080859,1778547,6.8,477667
324.117184,1507960,5.6,566024
324.737029,1277396,4.6,610285
324.762725,1535192,5.8,542082
324.917822,1384431,5.1,601685
325.020325,1680382,6.4,608281
325.056706,7418883,31.9,525153
325.092015,3025416,12.2,480924
325.093091,13552649,58.2,533346
325.127507,1102606,3.8,791658
325.129478,9403406,40,515266
325.165872,2846740,11.4,539406
325.183472,9586710,40.8,383506
325.184509,43471896,188.8,500186
326.060129,1498010,5.5,588051
326.096425,2499744,9.9,564079
326.132916,2103461,8.2,561426
326.172377,1009835,3.4,709500
326.187859,9305261,39.6,539319
326.18861,4265134,17.6,519175
326.208755,1990321,7.7,498003
326.7587,1253125,4.4,718021
326.759761,3328261,13.5,466973
327.014855,1101100,3.8,723845
327.035979,3076911,12.4,550395
327.051198,1857330,7.1,562602
327.071363,2729269,10.9,570570
327.072371,9272629,39.5,504869
327.087674,1340983,4.8,643428
327.108782,13227322,56.7,526915
327.123967,973117,3.2,541783
327.145115,6234432,26.2,508449
327.180277,2049350,7.9,546883
327.181498,1608518,6,521529
327.19109,1197895,4.2,580946
327.217866,1211211,4.3,592292
328.075751,1234129,4.4,609379
328.112089,1922007,7.4,570174
328.148559,1008349,3.4,614335
328.151596,1303261,4.7,284830
328.187994,2456547,9.7,573367
328.224421,4937193,20.5,521115
328.756825,2778173,11.1,528250
329.015106,951398,3.1,454513
329.030506,2398825,9.4,578966
329.051638,4281964,17.7,511130
329.066917,3585647,14.6,566085
329.087982,7494258,31.7,516937
329.103256,2715253,10.8,566930
329.124435,6900344,29.1,508876
329.139638,1973626,7.6,495019
329.152675,1251452,4.4,482541
329.16079,2945150,11.8,545040
329.176096,1660288,6.2,541748
329.183253,4484737,18.6,530386
329.197231,992643,3.3,624454
329.227731,1124104,3.9,497114
329.233545,2225801,8.7,589122
330.07031,1221137,4.3,544648
330.091352,1415700,5.2,576185
330.120535,1022617,3.4,543722
330.130897,1049115,3.6,640067
330.167262,2710817,10.8,575135
330.186615,977700,3.2,669002
330.203656,12748582,54.6,497763
330.753812,1630081,6.1,535291
331.009716,1398699,5.1,328141
331.030924,1087919,3.7,664197
331.044782,1311409,4.7,567938
331.046168,5269425,22,522979
331.067244,3064757,12.4,556541
331.082535,5554103,23.2,512280
331.103679,3161531,12.8,537758
331.118923,4791229,19.9,513623
331.140047,2694593,10.7,543752
331.155325,3057603,12.3,518601
331.162515,1066821,3.6,555830
331.176404,1150407,4,568848
331.19166,1231561,4.3,574705
331.207035,1887180,7.2,524726
332.085781,1118687,3.8,518619
332.122398,1307749,4.6,477291
332.146527,1026793,3.4,512947
332.18291,3100272,12.3,530742
333.025414,4374783,17.8,515641
333.061823,8634629,36.1,503147
333.098179,7789836,32.5,518269
333.10948,961550,3.1,507107
333.111253,1017102,3.4,527342
333.119376,1291279,4.5,556121
333.133156,1522706,5.5,510028
333.134611,6262034,25.9,509935
333.170928,3474712,13.9,569760
334.065196,1836211,6.9,534613
334.093385,1088440,3.7,586992
334.101558,1808314,6.8,608775
334.138113,1029568,3.4,502261
334.144372,1076929,3.6,463161
334.17748,3097543,12.3,519017
334.938601,9593421,40.2,497261
335.004774,1846873,6.9,582959
335.03887,1265503,4.4,537670
335.041088,8372832,35,504176
335.077447,11639398,49,518717
335.088704,991592,3.2,666565
335.113864,11235948,47.3,503845
335.114881,1500525,5.4,495906
335.150183,6875763,28.5,480749
335.186628,2913913,11.5,550288
335.938179,2011904,7.6,544455
336.044305,1972755,7.5,454586
336.072792,990489,3.2,441035
336.080822,1901850,7.2,534498
336.117145,2111777,8.1,542078
336.153572,1824551,6.8,305165
336.156705,1512488,5.5,514913
336.935491,1577910,5.8,548468
337.020367,3436485,13.8,499343
337.045924,962378,3.1,398583
337.056752,13476812,56.9,522981
337.082579,967377,3.1,486379
337.093081,15879123,67.2,503913
337.128252,2418649,9.4,474613
337.129514,14900185,63,509713
337.165855,6978528,29,535847
337.20233,1646055,6.1,585277
337.20561,1136871,3.9,704965
338.060073,2462342,9.6,546031
338.096509,3231373,12.9,522737
338.132823,2503316,9.7,518517
338.169221,1293979,4.5,539159
338.887496,1713698,6.3,558142
338.933554,14390571,60.8,507931
339.035995,7443775,31,527570
339.05131,1887041,7.1,558682
339.072377,17644870,74.8,499203
339.087713,1514568,5.5,470383
339.108805,19840332,84.3,499274
339.145133,12580179,53.1,507387
339.181581,3878234,15.7,545730
339.200186,12639582,52.5,512301
339.933147,2969578,11.6,502420
340.039309,1348863,4.7,545052
340.067739,1012356,3.3,524927
340.075783,2480646,9.5,535645
340.103924,958987,3.1,681156
340.112119,3652621,14.4,499307
340.148499,1980180,7.4,485084
340.188054,1386268,4.9,375811
340.203538,2463263,9.4,483665
340.223371,1280034,4.4,689249
340.224402,3792419,15,514858
340.885462,3349156,13.2,519432
340.930431,1456044,5.2,541057
341.015321,1351101,4.7,537837
341.030498,2871488,11.1,583238
341.051642,10616516,43.9,518446
341.066901,3077319,12,490944
341.077686,1008329,3.3,603268
341.086893,3347659,13.2,499952
341.088061,19730124,82.4,497755
341.10332,2626254,10.1,524457
341.124416,16912082,70.5,504446
341.139669,1243094,4.3,650667
341.159676,1452761,5.1,670319
341.160825,7186138,29.4,514410
341.183306,2461406,9.4,565410
341.197217,2630881,10.1,588733
341.208423,994787,3.2,528664
341.399412,949833,3,410946
342.05497,1447307,5.1,453108
342.070141,1134734,3.8,584831
342.083251,1236625,4.2,590520
342.091381,3571602,14.1,563823
342.127789,2971034,11.6,547338
342.164152,1473441,5.2,447977
342.167287,2181026,8.2,514119
342.240055,10276784,42.5,474561
342.76128,2880537,11.2,489186
342.883527,1420082,5,557688
343.009872,1499468,5.3,476710
343.030974,2285648,8.7,484634
343.046214,4729939,19,464822
343.067326,10276951,42.5,498947
343.082556,4673626,18.8,512980
343.103681,14127199,58.7,503750
343.118969,4265058,17,516434
343.140113,8294502,34.1,514997
343.155331,2529385,9.7,518389
343.162344,1001450,3.2,558047
343.176423,3385965,13.3,489249
343.198899,6806642,27.8,494722
343.212867,2596469,10,526178
343.243404,2072699,7.8,614845
344.070636,2072869,7.8,520618
344.107036,2083628,7.8,552699
344.13612,2039602,7.6,550729
344.143515,1413172,5,505862
344.182981,3397948,13.4,543769
344.202297,1059904,3.5,552769
344.218508,2245443,8.5,391588
344.219331,8923459,36.7,513318
344.252766,973642,3.1,604650
344.698238,1017255,3.3,631383
344.730895,1106094,3.7,525889
344.759234,9322932,38.4,521297
344.769368,1187510,4,530540
345.025449,4549100,18.2,501443
345.046601,2262000,8.6,553681
345.061864,7723507,31.7,493046
345.073173,1186294,4,588221
345.08294,5632504,22.8,497767
345.098213,7686651,31.5,501748
345.109436,1107709,3.7,563551
345.111312,1182718,4,486282
345.119358,5235199,21.1,516323
345.130627,987394,3.2,476061
345.13376,1464834,5.2,686386
345.134637,6123011,24.9,510308
345.155775,3832327,15.2,540122
345.170949,4339210,17.3,499927
345.178172,5414412,21.9,484227
345.192104,1659406,6,562995
345.222714,1501205,5.3,525771
345.228512,1912342,7.1,527826
346.065164,1050567,3.4,633021
346.086376,1315276,4.6,553724
346.101506,1474511,5.2,393943
346.115408,1631442,5.9,576136
346.137962,1533911,5.5,491272
346.159229,947675,3,591930
346.162219,2353372,8.9,518171
346.181616,959968,3.1,724578
346.755954,1583963,5.6,617435
346.757171,9456476,38.3,508111
346.766473,1292894,4.4,590609
346.8056,1715302,6.1,541449
347.004747,1790865,6.5,527699
347.041087,8922009,36.1,499173
347.062283,1515934,5.3,524968
347.077516,11111329,45.2,493742
347.09063,1448356,5,569514
347.098609,1977254,7.2,536803
347.113859,11287465,46,495876
347.134959,1590701,5.6,499986
347.150274,8661937,35,515030
347.17143,1159349,3.8,606095
347.186654,4282297,16.8,551518
348.044544,1375860,4.7,520178
348.080859,1874556,6.8,539942
348.109144,1106818,3.6,561413
348.112366,982659,3.1,596832
348.117249,1710212,6.1,445897
348.142623,998282,3.2,471829
348.153636,1962124,7.2,549821
348.156613,1094285,3.6,626129
348.160094,2501774,9.4,523300
348.189941,1022996,3.3,514572
348.193112,2837653,10.8,485922
348.75519,3395345,13.1,496550
348.954324,6794558,27.3,531158
349.020385,5225805,20.7,491796
349.056765,13616469,55.6,488892
349.091975,2684252,10.2,316360
349.093103,15304029,62.7,497285
349.104359,1117919,3.7,349400
349.1062,5121376,20.3,469924
349.12843,2745701,10.4,465638
349.12955,14794085,60.5,474594
349.165891,9203053,37.3,487250
349.20137,1281397,4.3,781211
349.202285,4136309,16.2,515282
349.953784,1197342,4,541496
350.02375,1078574,3.5,558804
350.052049,1108405,3.6,368188
350.060167,2251319,8.4,478120
350.088369,1217597,4.1,686797
350.096485,2797631,10.6,525091
350.109605,1349186,4.6,579538
350.132877,2343495,8.8,544390
350.169258,2157391,8,422419
350.172359,2897488,11.1,502447
350.205644,993624,3.1,432616
350.7863,2890972,11,548194
350.926245,1098236,3.6,499232
350.962504,1042437,3.3,629069
350.999637,1522445,5.3,506981
351.033899,1449237,5,456087
351.036056,10151702,41.2,486231
351.051187,1256473,4.2,495667
351.072394,18724638,76.9,483841
351.087592,1135394,3.7,589551
351.103367,1837861,6.6,442801
351.1075,3537190,13.7,417043
351.108799,20322086,83.5,499387
351.134755,1505837,5.3,525397
351.145206,16398127,67.2,491353
351.181534,7430967,29.9,470958
351.217958,2022208,7.4,561762
352.039437,1724415,6.2,500488
352.067683,1117957,3.7,689625
352.075802,2941447,11.2,507525
352.103995,1261326,4.2,449467
352.112117,4455440,17.5,527954
352.140426,1267222,4.3,595678
352.148578,3323928,12.8,572786
352.151685,1994777,7.3,563752
352.184937,1260321,4.2,630308
352.783399,3950766,15.4,518347
352.947998,6167765,24.7,338352
352.949193,38185172,157.8,486430
353.015247,2578661,9.7,543477
353.030487,1463016,5.1,285509
353.05165,15567085,63.7,484757
353.06694,2415857,9.1,548578
353.07741,1022708,3.3,514069
353.088063,23058678,94.9,470107
353.100937,1088761,3.5,509423
353.10326,1533178,5.4,553282
353.124417,24291582,100,489434
353.160834,12955911,52.9,474410
353.197206,3749136,14.6,427727
353.200563,1602321,5.7,511917
353.233578,1003801,3.2,514615
353.24892,1250588,4.2,405264
353.947439,1557444,5.5,584044
353.948794,7688644,31,486426
353.952418,1131461,3.7,479681
354.055032,2769374,10.5,499391
354.083309,1370340,4.7,541930
354.091418,3824103,14.9,530735
354.127823,4476399,17.6,506348
354.164195,2496504,9.4,567125
354.203722,1687298,6,455126
354.78049,2139790,7.8,574859
354.946062,5069494,19.7,470446
354.953408,1214648,4,529505
355.030941,5470923,21.4,481665
355.046225,3761871,14.4,500481
355.056845,1102289,3.5,534733
355.067354,20179668,81.5,488431
355.082629,3378904,12.8,514248
355.093232,1085914,3.5,635450
355.103689,24353500,98.6,476124
355.111926,1938911,6.9,460417
355.118955,2289888,8.4,524169
355.140092,17267430,69.6,487762
355.155355,1308137,4.4,514990
355.162585,1338859,4.5,508689
355.176498,7269103,28.7,485151
355.180396,4483824,17.3,530752
355.198914,3461876,13.2,533959
355.212946,1677047,5.9,406727
356.034254,1129666,3.6,673951
356.07069,3050955,11.5,464054
356.098991,1014994,3.2,557075
356.107059,4525013,17.5,438386
356.143426,2863582,10.7,524366
356.17979,1329639,4.5,504507
356.18292,2208231,8,537809
356.255688,5539834,21.7,480947
357.025421,3729594,14.3,480269
357.046599,7433408,29.4,513461
357.061888,7433412,29.4,466509
357.082996,16342217,65.8,477645
357.098233,5014733,19.5,480755
357.111352,1059024,3.3,620927
357.119317,16174290,65.1,482089
357.13368,1199830,3.9,677131
357.134579,3909846,15,510264
357.155748,8250588,32.7,478965
357.171085,1776351,6.3,562305
357.178391,1402337,4.7,567514
357.192165,3673317,14,483969
357.207449,981480,3,613490
357.214568,15269098,61.4,470372
357.228523,1426158,4.8,500915
358.029915,994234,3.1,577954
358.049849,1002687,3.1,463888
358.065251,1326019,4.4,534922
358.086338,2702792,10.1,500675
358.101615,1194444,3.9,577684
