m/z,Magnitude,S/N,Res.
138.167065,898554,3.1,1453286
138.233858,1375514,5.4,1506476
138.267917,942261,3.3,947423
138.849439,906219,3.2,1122878
139.282464,2010397,8.3,1386231
139.332295,974342,3.5,1065975
139.801949,955162,3.4,1623930
139.902017,915622,3.2,1150052
139.91075,889687,3.1,678839
139.918611,976264,3.5,1279112
139.918987,968058,3.5,689648
139.920159,984578,3.5,712307
139.922038,920922,3.2,1859633
139.922944,1050600,3.8,400509
139.924642,1112436,4.1,1380782
139.925978,1017511,3.7,792549
139.926623,1178900,4.4,1740282
139.927076,1010241,3.7,632076
139.927522,1402076,5.5,1011939
139.927776,1060191,3.9,652652
139.928523,1056435,3.9,764465
139.928813,1146772,4.3,608185
139.929273,1297198,5,1160821
139.930174,1129961,4.2,437276
139.931089,1819041,7.4,1457078
139.931306,877555,3,1492814
139.931498,1130520,4.2,1050618
139.931922,1469805,5.8,974071
139.932148,1336577,5.2,611516
139.932417,1090036,4,1592914
139.933302,1091820,4,657758
139.933903,949076,3.4,627819
139.934362,1627156,6.5,1229974
139.934636,1297228,5,967100
139.934988,1406459,5.5,1051022
139.935314,1447190,5.7,1114523
139.935875,1411025,5.5,608422
139.93616,1648250,6.6,812898
139.936684,1690988,6.8,1384987
139.936843,1321673,5.1,766056
139.937032,1304595,5,1362835
139.937305,1750316,7.1,1068288
139.937662,1343062,5.2,1167081
139.937901,1427987,5.6,1675728
139.938035,1255006,4.8,1558714
139.938241,2179897,9.1,1563599
139.93846,1504024,6,1111464
139.939078,2359887,10,335509
139.939442,1275839,4.9,1595729
139.939634,1993461,8.3,654687
139.939946,2767220,11.9,1178141
139.940256,2544751,10.8,1016594
139.940455,3094463,13.4,828966
139.940614,3107403,13.5,744745
139.941117,2377165,10.1,439458
139.941558,3066415,13.3,575837
139.941816,1502669,6,1498064
139.942069,3197244,13.9,581362
139.942282,3213197,14,761682
139.942432,2056770,8.6,1211516
139.943087,4373270,19.4,631927
139.943415,2917902,12.6,1158615
139.943595,2709860,11.6,779059
139.94385,3703390,16.3,531066
139.944203,4709733,21,1438538
139.944319,2367283,10,1874046
139.944432,5253763,23.5,1071090
139.944608,1741512,7.1,1252169
139.94478,4069612,18,1262180
139.944953,3608548,15.8,1280219
139.945197,3642390,16,1081225
139.94552,5996076,27,1063769
139.94571,3553933,15.6,1326621
139.94583,2465317,10.5,1388567
139.945939,3225536,14,1418900
139.946178,2992747,12.9,752687
139.946384,3481989,15.2,1473375
139.946671,8714402,39.7,1122233
139.946808,2327885,9.8,1236216
139.947009,5236744,23.4,994545
139.947129,2717763,11.7,1193440
139.94727,3548553,15.5,599649
139.947588,4757458,21.2,1590686
139.947717,3682587,16.2,993578
139.947914,6477055,29.3,972204
139.948306,7075278,32.1,1022928
139.948503,5742033,25.8,628639
139.948893,3454975,15.1,563663
139.949132,6754605,30.5,690405
139.949707,9825739,44.9,1046603
139.950004,3636420,16,744850
139.950205,4582457,20.4,619708
139.950637,5263155,23.6,600722
139.950907,3960281,17.5,1239315
139.951081,3095054,13.4,1517193
139.951223,2955680,12.8,1260383
139.951406,4711926,21,1185667
139.951664,3218965,14,1368353
139.951904,2636712,11.3,1124691
139.952018,1677000,6.8,2189968
139.952142,2695042,11.5,1398000
139.952498,3977637,17.5,1166019
139.952783,2747441,11.8,1011676
139.953017,3170040,13.8,1419956
139.953142,1915241,7.9,1267889
139.953411,3538027,15.5,573568
139.95371,2103432,8.8,589728
139.954017,3993679,17.6,664325
139.954226,3478979,15.2,665671
139.954575,2596242,11.1,1243974
139.954912,1842957,7.6,283869
139.955126,1663382,6.7,1192071
139.95526,1258135,4.8,2010345
139.955377,3836345,16.9,1412767
139.955529,3374743,14.7,1196302
139.956017,1597537,6.4,1724667
139.956125,1135549,4.2,2401681
139.956282,1161678,4.4,1206115
139.956997,1607666,6.5,975876
139.957582,2267496,9.5,571052
139.957744,1402196,5.5,1691826
139.95806,1213456,4.6,671913
139.958487,1980029,8.2,886261
139.958953,2384780,10.1,422098
139.959095,1572128,6.3,1690634
139.95941,1733221,7,1283511
139.959632,1160714,4.4,1400016
139.960208,1946840,8,1295129
139.960525,1718886,7,1022383
139.960886,2590357,11.1,824276
139.96159,1938115,8,690042
139.961837,1147749,4.3,1491886
139.962203,905123,3.2,1136738
139.96253,1550330,6.2,1350250
139.962714,1466070,5.8,1109898
139.963222,1105093,4.1,1359554
