m/z,I,S/N,Res.
184.781358,868329,3.1,1409556
186.05897,966172,3.6,1126304
186.804348,852234,3,1016013
188.743161,881695,3.2,1279605
190.781558,880545,3.2,1255979
191.4975,937704,3.4,1193918
191.806824,870634,3.1,1273404
192.265314,856062,3,1234211
193.338732,896042,3.2,1255081
193.551891,906442,3.3,482950
194.010306,1117306,4.3,1291553
194.863969,909218,3.3,1308283
195.036259,1201585,4.7,1359380
197.82352,864453,3.1,1300964
198.858056,900033,3.3,1055174
201.664458,854939,3,1005114
203.57337,848238,3,1098295
204.742057,882368,3.2,1135036
205.130234,864407,3.1,1008686
205.482848,867343,3.1,874253
206.0472,911118,3.3,1109634
206.600494,907486,3.3,1013768
208.045767,918255,3.3,1325973
209.51275,912210,3.3,998315
211.226509,868591,3.1,1408525
211.581415,895713,3.2,962811
211.680109,860809,3.1,1286155
211.759778,873874,3.1,1142969
212.03101,881827,3.2,1094049
212.760587,856503,3,1188431
212.85189,921040,3.4,687574
213.091826,877881,3.1,1150001
213.633184,881413,3.2,1164378
213.670911,940805,3.4,1119288
214.827906,870698,3.1,866605
216.292737,859324,3.1,1114302
219.536678,963207,3.6,997909
220.165431,886185,3.2,891715
221.423295,860951,3.1,820133
223.563119,888834,3.2,981910
224.474572,859982,3.1,1010586
225.017544,980139,3.6,930398
225.097612,854060,3,1204799
229.26181,940108,3.4,1095807
229.89178,902335,3.2,1077662
230.347702,866092,3.1,1172349
230.394181,885006,3.2,810434
230.978605,885664,3.2,1245658
231.871047,901805,3.2,925700
232.885895,902879,3.2,1200785
235.127232,878543,3.1,771895
235.913719,886701,3.2,767390
239.524314,871390,3.1,1152961
240.701528,928641,3.4,863389
241.219367,983495,3.6,884335
242.347775,902834,3.2,570308
242.397618,890044,3.2,1047722
244.075224,882394,3.1,984473
244.333387,857190,3,960293
245.73875,858714,3,1100010
247.278608,921735,3.3,854674
248.064912,968063,3.5,807611
248.939127,871628,3.1,876337
249.742133,906535,3.2,961936
252.737122,909578,3.3,847946
253.586442,929561,3.4,791185
254.813923,868687,3.1,802841
255.062386,1319310,5.2,1051090
257.123416,875143,3.1,801460
259.527131,881336,3.1,959241
260.604706,857882,3,981954
261.60556,875993,3.1,922511
262.032578,955892,3.5,913008
262.784059,1083876,4.1,1133464
264.781117,1078277,4,898109
265.071803,921527,3.3,746001
265.14799,927548,3.3,1234014
266.309402,887337,3.1,756620
266.492644,868693,3,764534
266.803987,2259498,9.7,817997
266.892012,919727,3.3,827563
267.087476,1213500,4.7,988031
267.123883,928287,3.3,828178
268.790864,862543,3,937473
268.800363,1056175,3.9,1408960
268.801044,3479856,15.5,881277
268.815395,893264,3.2,814181
269.103216,1199812,4.6,1151286
270.798086,2168056,9.2,777034
272.398555,922150,3.3,596429
272.795156,1248034,4.8,667939
273.018816,892946,3.2,733399
273.438392,865775,3,687762
274.783443,861614,3,698129
274.971767,1626203,6.6,861532
277.035563,877038,3.1,960146
277.059831,1780336,7.4,753132
277.071839,1061105,3.9,831529
277.108339,1192948,4.6,773747
277.155914,893047,3.2,1004052
277.493139,863663,3,773945
277.59841,911127,3.2,1012940
279.051137,1137984,4.3,344346
279.087544,1177091,4.5,944152
279.123916,1730309,7.1,837145
279.476416,940383,3.4,815205
279.552097,930564,3.3,651708
279.917326,11175231,51.9,319815
279.917964,51211584,241.6,766287
280.866653,942212,3.4,911212
280.917381,878408,3.1,1026708
280.921319,1199880,4.6,755028
281.030452,1446224,5.8,810726
281.066847,1320787,5.2,872874
281.103232,1658134,6.8,617072
281.139573,1518232,6.1,906294
281.913114,1569233,6.4,669986
281.913794,4750034,21.4,871666
282.098356,957407,3.4,463292
283.046077,1212645,4.7,962264
283.082445,1674984,6.8,653137
283.118851,1736746,7.1,488871
283.154663,1015725,3.7,898773
285.06178,975099,3.5,1007899
285.098085,1778237,7.3,854893
285.134627,908128,3.2,725157
286.010775,957890,3.4,629938
288.15662,874659,3,915414
288.987488,1291810,5,372302
289.035636,1058853,3.9,668417
290.172691,927291,3.3,617289
290.629015,905982,3.2,680586
291.01478,1018619,3.7,963243
291.051139,1137278,4.3,902297
291.087556,1495041,6,963085
291.123936,897284,3.1,760440
291.455579,904477,3.2,817453
293.030437,1218709,4.7,1160430
293.066863,1433496,5.7,788749
293.103225,2418971,10.3,806459
293.139588,895454,3.1,935322
293.17599,3045921,13.2,672732
295.046061,1241040,4.7,580656
295.082492,2285619,9.6,689387
295.11843,1417654,5.6,700599
295.118905,3167414,13.8,768166
295.155258,985337,3.5,870293
297.061748,1786956,7.3,807563
297.098135,2562639,10.9,756504
297.134503,1887250,7.8,600989
297.153215,1665747,6.7,905088
299.077407,2130793,8.9,821734
299.113828,1928172,7.9,604160
