"Inst_blank_0313_neg: 100 scans, H1=0.1, H2=0.5, TOF=0.0009, Q1=250, Ex Amp=8.75, neb=0.5 ",,,,,
"Acquired   03/13/2020,   10:35  AM",,,,,
#,m/z,I,S/N,Res.,
1,138.441572,486645,3,1042525,
2,139.31967,522719,3.3,1173962,
3,139.622233,495720,3.1,1207618,
4,139.756959,493836,3.1,658059,
5,140.145844,525187,3.3,1543129,
6,140.526009,824594,5.8,834341,
7,140.792092,586665,3.8,765145,
8,140.886328,15383273,128.2,1114011,
9,141.128746,1541756,11.9,958089,
10,141.250299,86367944,724.8,1150397,
11,141.250501,2114707,16.7,1304248,
12,141.252869,1023441,7.5,1096710,
13,141.253026,713688,4.9,1274566,
14,141.255299,819125,5.8,1243778,
15,141.264479,487150,3,1336703,
16,141.324321,491319,3,1032872,
17,142.98103,820662,5.8,1218603,
18,143.227186,548404,3.5,1279231,
19,143.45915,512848,3.2,1220794,
20,143.675905,514736,3.2,1394914,
21,144.405832,516103,3.2,1142695,
22,144.799263,514077,3.2,1271326,
23,145.02152,515112,3.2,884884,
24,145.118324,522583,3.3,750427,
25,148.52177,610550,4,528325,
26,149.600673,937256,6.8,1245428,
27,149.628286,494118,3.1,1490921,
28,151.132085,488806,3,1370043,
29,152.265407,515400,3.2,1290899,
30,153.427678,1081970,8,1128419,
31,154.01834,531582,3.4,840881,
32,154.377859,527723,3.3,1559485,
33,155.234284,566129,3.7,555958,
34,156.406896,533037,3.4,966055,
35,157.080007,493860,3.1,922974,
36,157.78999,493802,3.1,1001347,
37,158.31393,636041,4.3,862500,
38,158.384989,524509,3.3,1033457,
39,159.567499,1049063,7.7,721631,
40,160.017184,681879,4.6,648255,
41,160.306923,513527,3.2,1071504,
42,161.119973,513486,3.2,1280243,
43,161.198576,936286,6.8,485385,
44,161.99464,509278,3.2,885570,
45,163.646803,540115,3.5,968700,
46,163.90399,540240,3.5,1034654,
47,163.951008,495272,3.1,1227487,
48,164.405795,503333,3.1,990474,
49,164.618578,494941,3.1,1114896,
50,164.72311,514169,3.2,1123197,
51,165.74734,562740,3.6,875489,
52,167.1227,535369,3.4,947868,
53,167.161851,536597,3.4,724344,
54,167.436178,520690,3.3,1065431,
55,169.164472,492879,3.1,760702,
56,169.232412,506963,3.2,1111166,
57,170.433289,631027,4.2,1045023,
58,170.835261,490703,3,1232960,
59,171.211015,528514,3.4,700911,
60,172.355038,491556,3,1039240,
61,172.478213,533005,3.4,1196069,
62,172.685276,758967,5.3,339592,
63,174.37167,5355282,43.9,993924,
64,176.812584,488554,3,873512,
65,176.920277,489764,3,1038992,
66,177.347728,1495467,11.5,736169,
67,178.051107,732326,5.1,1187476,
68,179.575118,499648,3.1,827640,
69,179.755992,682211,4.6,590530,
70,180.267018,529517,3.4,1118080,
71,180.792532,661879,4.5,1284695,
72,181.793365,540507,3.4,942302,
73,182.518487,493866,3.1,868643,
74,182.94483,524435,3.3,979057,
75,183.012023,507236,3.2,952121,
76,184.152457,502750,3.1,831855,
77,187.164112,493431,3,1059350,
78,189.027306,527353,3.3,857553,
79,189.448521,758533,5.3,919562,
80,189.673882,551531,3.5,789511,
81,190.043238,542390,3.5,702949,
82,190.206503,1090266,8,722420,
83,190.371888,495055,3.1,942887,
84,196.805215,497618,3.1,696633,
85,200.386832,547961,3.5,657086,
86,201.078574,489858,3,831001,
87,201.315532,526795,3.3,1057386,
88,202.611032,1451900,11,890584,
89,202.616245,1619004,12.4,860847,
90,205.160339,502143,3.1,836973,
91,205.659791,530451,3.3,1046594,
92,209.988834,500005,3.1,825698,
93,210.021341,535782,3.4,863724,
94,210.141146,496619,3,815157,
95,210.377433,506965,3.1,968056,
96,211.134895,494389,3,1142178,
97,212.483652,948175,6.8,791063,
98,212.488071,551247,3.5,883169,
99,213.483669,501915,3.1,900511,
100,213.684947,492964,3,620240,
101,214.795703,496324,3,677640,
102,216.405448,507484,3.1,713632,
103,217.884102,1794047,13.8,701380,
104,218.627996,494016,3,826667,
105,219.559638,542091,3.4,1067226,
106,220.320785,525518,3.3,682330,
107,220.763673,493890,3,674115,
108,221.166005,2493973,19.6,655799,
109,221.167198,515157,3.2,1320905,
110,221.959837,509114,3.1,884342,
111,224.159329,502848,3.1,894972,
112,224.401601,2108588,16.4,616428,
113,224.402156,673196,4.5,480401,
114,224.810001,513119,3.2,428535,
115,225.166824,534384,3.3,820119,
116,228.163848,531677,3.3,772793,
117,228.716311,509271,3.1,728702,
118,231.461517,519642,3.2,630020,
119,232.667021,508083,3.1,722436,
120,234.83294,533659,3.3,791555,
121,236.614455,514223,3.2,876681,
122,237.508994,498522,3,1002891,
123,237.515983,516634,3.2,782650,
124,238.254495,503645,3.1,635170,
125,238.29479,501247,3.1,716691,
126,239.54299,553530,3.5,585095,
127,240.73372,495762,3,713746,
128,241.99824,503021,3.1,730746,
129,242.32739,537565,3.3,666387,
130,245.027314,502778,3.1,611134,
131,245.62663,523190,3.2,626745,
132,247.099111,554457,3.5,775455,
133,247.531198,505133,3.1,834267,
134,248.293687,682640,4.5,776791,
135,249.498659,555527,3.5,522808,
136,250.22651,511432,3.1,679935,
137,252.406124,500170,3,673309,
138,252.852969,518238,3.2,757722,
139,255.187587,507174,3.1,674001,
140,258.310145,515921,3.1,665635,
141,260.908727,540612,3.3,503045,
142,261.237509,505266,3,599794,
143,262.974859,516735,3.1,662127,
144,267.212428,517019,3.1,362526,
145,271.598165,516447,3.1,588113,
146,273.780291,509441,3,682060,
147,273.813556,583362,3.6,697183,
148,276.186281,1946862,14.6,673487,
149,278.064595,532676,3.2,570185,
150,279.233076,606714,3.8,661646,
151,281.248679,7347928,58,569105,
152,282.251289,778631,5.2,758200,
153,282.252058,1869831,13.9,654494,
154,282.733654,527997,3.2,493284,
155,283.137413,643696,4.1,694106,
156,283.263719,4799799,37.5,485662,
157,283.264322,12639030,100.5,596246,
158,284.267111,1593958,11.7,644339,
159,284.2677,2762086,21,590548,
160,286.310522,586824,3.6,656600,
161,287.429831,546622,3.3,634950,
162,287.929848,532566,3.2,512832,
163,289.108243,2405968,18.1,639663,
164,291.079294,1572274,11.5,703070,
165,293.175846,2287131,17.2,276655,
166,293.179226,691867,4.4,623928,
167,293.212335,701853,4.5,742244,
168,294.179297,662990,4.2,487299,
169,295.227149,759940,5,760320,
170,295.227797,990212,6.8,501205,
171,297.153061,2642408,19.9,257220,
172,297.186115,1143530,8,717631,
173,297.243052,1951725,14.4,480976,
174,297.243635,3755501,28.8,594532,
175,297.279958,847087,5.7,539768,
176,297.736683,516359,3,635214,
177,298.156431,668957,4.2,724396,
178,298.247004,756386,4.9,669421,
179,299.165374,1717843,12.6,420294,
180,299.201662,130928216,1039.1,526465,
181,299.259322,954968,6.5,439825,
182,299.717216,522801,3.1,553941,
183,300.168743,569289,3.4,608135,
184,300.205071,24383114,191.9,496397,
185,301.159313,33312446,262.5,315354,
186,301.159855,113069760,893.6,572859,
187,301.181165,567872,3.4,565079,
188,301.206264,736833,4.8,536420,
189,301.208469,3413697,25.9,578550,
190,301.216821,8278722,64.4,317885,
191,301.217413,21749442,171,569387,
192,302.162668,9784053,76.4,351821,
193,302.163248,21081846,165.8,559983,
194,302.220145,1966073,14.5,397506,
195,302.220769,4708089,36.2,610692,
196,302.905596,529567,3.1,672954,
197,303.166629,2543405,19.1,569422,
198,303.224235,865200,5.8,673702,
199,303.232997,100093744,791,554719,
200,304.235242,4167529,31.9,375660,
201,304.236407,18820968,147.9,536225,
202,305.030329,514773,3,641408,
203,305.11842,3796379,29,510899,
204,305.212214,611104,3.8,681549,
205,305.23974,2342817,17.5,541706,
206,305.248704,1720226,12.5,573147,
207,305.279145,518180,3,546812,
208,306.121619,892788,6,338658,
209,307.036089,762888,4.9,666047,
210,307.13396,647438,4,753841,
211,307.191659,646545,4,629255,
212,307.195014,1495313,10.7,615969,
213,307.264353,960917,6.5,459965,
214,307.84466,530423,3.1,452985,
215,308.295918,1048401,7.2,548402,
216,309.14974,536260,3.2,429091,
217,309.153158,1144836,8,528645,
218,309.170861,1730693,12.6,577358,
219,309.174258,819333,5.4,344352,
220,309.207295,1047175,7.2,708934,
221,309.241204,1171721,8.2,456841,
222,309.279983,2012811,14.8,455679,
223,310.283284,520199,3,513313,
224,311.167444,4338940,33.1,438192,
225,311.168743,24649980,193.2,528507,
226,311.222926,1414400,10.1,547677,
227,311.259118,518466,3,584474,
228,311.295684,4588804,35.1,520936,
229,312.17212,4696377,35.6,535715,
230,312.29903,1292609,9,546761,
231,313.07857,844145,5.5,343658,
232,313.14464,575989,3.4,764339,
233,313.147144,576501,3.4,901705,
234,313.148016,1020277,6.9,515062,
235,313.164575,1508214,10.7,614378,
236,313.179822,1382775,9.7,438465,
237,313.181017,6601079,50.5,547735,
238,313.21755,579385,3.5,619445,
239,313.22079,1737082,12.5,568285,
240,313.238531,3215739,24,525053,
241,314.184408,1345717,9.4,624418,
242,314.876855,558305,3.3,543483,
243,315.160281,978291,6.6,486911,
244,315.181287,698612,4.4,597804,
245,315.193667,535541,3.1,1087241,
246,315.195462,3523061,26.4,416175,
247,315.196686,13797877,106.6,516780,
248,315.252908,800760,5.2,555866,
249,315.25418,3323897,24.9,473426,
250,315.469055,554886,3.3,558063,
251,316.200065,2660405,19.7,502601,
252,316.257518,641080,3.9,598237,
253,317.090161,526126,3,480942,
254,317.103091,854383,5.6,430778,
255,317.118421,3062896,22.8,535860,
256,317.153831,1119346,7.7,625194,
257,317.154797,4002418,30.2,484992,
258,317.203301,567989,3.4,544742,
259,317.205113,541941,3.2,683299,
260,317.212312,8127094,62.4,504352,
261,318.121779,752625,4.8,455043,
262,318.158179,851891,5.6,490135,
263,318.215669,1745847,12.6,518836,
264,318.556725,582349,3.5,874146,
265,318.832009,667999,4.1,686479,
266,319.097641,903601,5.9,402182,
267,319.117902,1086194,7.3,540949,
268,319.118841,4090098,30.6,476635,
269,319.155109,542964,3.1,816302,
270,319.191572,836727,5.4,476154,
271,319.227947,7830265,59.5,529070,
272,320.12222,868148,5.7,604440,
273,320.231331,1914940,13.7,518986,
274,321.207371,651741,4,369536,
275,321.209381,1161597,7.9,671740,
276,321.210611,4568958,34.3,499481,
277,321.216607,532478,3.1,636779,
278,321.220127,2965886,21.9,515182,
279,321.243641,1881472,13.5,555779,
280,321.839457,529832,3,624397,
281,322.213882,843329,5.5,487992,
282,322.247046,666371,4.1,459900,
283,322.311728,573896,3.4,284759,
284,323.168761,904707,5.9,592260,
285,323.186515,767620,4.9,311252,
286,323.189936,856580,5.6,304237,
287,323.22049,1513734,10.6,548383,
288,323.222826,896134,5.9,567741,
289,323.256858,919433,6.1,447922,
290,323.259295,879625,5.7,615264,
291,323.538479,528668,3,408162,
292,324.03326,570430,3.4,780303,
293,324.171804,533640,3.1,445439,
294,325.147993,1383052,9.5,554869,
295,325.165667,742797,4.6,447271,
296,325.180489,859278,5.5,256561,
297,325.181707,1133966,7.6,440574,
298,325.183243,9765518,73.7,264772,
299,325.184361,57234576,436.9,502320,
300,325.186989,3153039,23.1,456852,
301,325.202092,1343120,9.2,548217,
302,325.238644,1005970,6.7,578025,
303,325.274783,1252629,8.5,396636,
