,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.6,0,0.33,0.02,Artifact,Weak,,,30,3.57,0,0.98,0.14,Artifact,Weak,,,59,2.5,82.2,1.76,1908.73,Solvent,None,,,88,1.22,0,1.09,0.12,Compound,Weak,,
2,14.64,0,0.45,0.03,Artifact,Weak,,,31,3.55,0,2.95,0.37,Artifact,Weak,,,60,2.5,51.5,1.59,1029.04,Solvent,None,,,89,1.19,0,1.43,0.49,Impurity,None,,
3,11.28,0,0.89,0.06,Artifact,Weak,,,32,3.54,0,1.57,0.1,Artifact,Weak,,,61,2.49,20.4,1.42,319.48,Solvent,None,,,90,1.16,0,1.83,0.33,Compound,None,,
4,11.2,0,0.65,0.04,Artifact,Weak,,,33,3.53,0,0.6,0.04,Artifact,Weak,,,62,2.34,0.1,1.4,1.73,Solvent,Weak + C13_Sat,,,91,1.15,0.1,3.64,2.33,Compound,None,,
5,10.19,0,0.97,0.08,Artifact,Weak,,,34,3.51,0.3,2.45,8.77,Compound,None,,,63,2.33,0.3,1.89,7.73,Solvent,Weak + C13_Sat,,,92,1.12,0,0.91,0.1,Impurity,Weak,,
6,10.18,0,0.83,0.06,Artifact,Weak,,,35,3.49,0,2.93,0.72,Artifact,Weak,,,64,2.33,0.4,1.69,9.44,Solvent,Weak + C13_Sat,,,93,1.11,0,1.54,0.27,Impurity,None,,
7,9.6,0,0.67,0.05,Artifact,Weak,,,36,3.48,0,7.03,2.74,Artifact,Weak,,,65,2.32,0.3,1.61,5.69,Solvent,Weak + C13_Sat,,,94,1.07,0.1,0.98,0.8,Compound,None,,
8,9.51,0,0.67,0.05,Artifact,Weak,,,37,3.45,0,0.96,0.16,Artifact,Weak,,,66,2.32,0.1,1.47,1.9,Solvent,Weak + C13_Sat,,,95,1.06,0,1.86,0.44,Compound,None,,
9,9.49,0,0.59,0.04,Artifact,Weak,,,38,3.45,0,3.79,0.76,Artifact,Weak,,,67,2.23,0,3.79,0.82,Compound,None,,,96,1.05,0.1,1.08,1.81,Compound,None,,
10,8.13,0,2.18,0.15,Impurity,Weak,,,39,3.44,0,1.24,0.2,Artifact,Weak,,,68,2.21,0,2.69,1.7,Compound,None,,,97,1.05,0.1,2.63,4,Compound,None,,
11,7.65,0,0.68,0.03,Artifact,Weak,,,40,3.44,0,1.44,0.21,Artifact,Weak,,,69,2.19,0,2.26,0.59,Compound,None,,,98,1.04,0.1,2.28,3.24,Compound,None,,
12,7.62,0,42.36,3.57,Artifact,Weak,,,41,3.42,0,1.96,0.61,Artifact,Weak,,,70,2.18,0,1.98,0.18,Impurity,Weak,,,99,1.04,0.1,1.06,0.93,Compound,None,,
13,7.22,0,15.12,8.52,Compound,None,,,42,3.42,0,3.67,1.16,Artifact,Weak,,,71,2.08,0,1.25,0.21,Impurity,None,,,100,1.03,0.1,2.56,4.52,Compound,None,,
14,7.2,0.1,29.25,24.66,Compound,None,,,43,3.41,0,2.4,0.48,Artifact,Weak,,,72,2.06,0,22.63,4.5,Compound,None,,,101,1.03,0.1,2.27,2.57,Compound,None,,
15,7.09,0.1,49.99,94.19,Compound,None,,,44,3.25,0.1,23.37,20.94,Artifact,Weak,,,73,1.91,0.1,0.98,1.31,Compound,None,,,102,1.02,0,2.45,0.6,Compound,None,,
16,7.08,0,11.95,1.65,Impurity,None,,,45,3.21,0,61.02,31.06,Artifact,Weak,,,74,1.86,0,26.96,2.25,Compound,None,,,103,1,0,2.49,0.38,Compound,None,,
17,6.52,0,1.6,0.53,Impurity,None,,,46,3.21,0,0.45,0.04,Artifact,Weak,,,75,1.85,0,0.58,0.04,Artifact,Weak,,,104,0.89,0,3.03,0.49,Compound,None,,
