,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.61,0,1,0.09,Artifact,Weak,,,28,3.64,0,4.49,0.76,Impurity,Weak,,,55,2.67,0.3,1.74,6.32,Solvent,Weak + C13_Sat,,,82,2.13,0,0.85,0.08,Impurity,Weak,,,109,1.08,0,3.24,0.21,Artifact,Weak,,
2,11.07,0,1.37,0.13,Impurity,Weak,,,29,3.57,0,1.17,0.67,Artifact,Weak,,,56,2.67,0.4,1.73,9.35,Solvent,Weak + C13_Sat,,,83,2.12,0,0.67,0.08,Impurity,Weak,,,110,1.07,0.1,0.96,1.12,Impurity,None,,
3,10.2,0,1.21,0.08,Artifact,Weak,,,30,3.57,0,0.73,0.11,Artifact,Weak,,,57,2.66,0.3,1.72,6.66,Solvent,Weak + C13_Sat,,,84,2.08,0,0.93,0.3,Impurity,None,,,111,1.05,0.2,0.86,1.54,Compound,None,,
4,9.65,0,0.87,0.07,Artifact,Weak,,,31,3.52,0,2.75,0.45,Artifact,Weak,,,58,2.66,0.1,1.32,1.7,Solvent,Weak + C13_Sat,,,85,2.05,0,41.83,21.17,Compound,None,,,112,1.04,1.2,3.63,50.4,Compound,None,,
5,9.38,0,0.76,0.05,Artifact,Weak,,,32,3.51,0.1,3.57,5.34,Artifact,Weak,,,59,2.56,0,1.84,0.2,Artifact,Weak,,,86,2.04,0,1.75,0.41,Compound,None,,,113,1.03,1.2,3.66,48.5,Compound,None,,
6,8.64,0,1,0.08,Artifact,Weak,,,33,3.49,0.1,4.51,8.23,Artifact,Weak,,,60,2.52,0.1,1.05,1.55,Artifact,Weak,,,87,2.02,0,3.11,0.56,Impurity,None,,,114,1.02,0.1,2.09,2.38,Compound,None,,
7,8.13,0,1.73,0.67,Impurity,None,,,34,3.48,0.2,4.42,9.32,Artifact,Weak,,,61,2.51,20,1.28,277.7,Solvent,None,,,88,2.01,0,2.53,0.45,Impurity,Weak,,,115,1,0,0.87,0.07,Impurity,Weak,,
8,7.21,0.1,19.99,28.3,Compound,None,,,35,3.46,0.1,3.23,2.19,Artifact,Weak,,,62,2.5,55.2,1.72,1224.62,Solvent,None,,,89,1.91,0.2,0.96,2.9,Compound,None,,,116,1,0.1,2.17,2.7,Compound,None,,
9,7.1,0.1,46.92,31.05,Compound,None,,,36,3.45,0,0.8,0.14,Artifact,Weak,,,63,2.5,82.7,1.69,1847.26,Solvent,None,,,90,1.86,0,39.51,12.87,Compound,None,,,117,0.99,0,1.03,0.08,Impurity,Weak,,
10,7.09,0.1,18.53,24.22,Compound,None,,,37,3.45,0.1,3.24,4.64,Artifact,Weak,,,64,2.5,52.7,1.62,1060.82,Solvent,None,,,91,1.72,0,1.45,0.19,Impurity,Weak,,,118,0.87,0,11.29,7.25,Compound,None,,
11,6.97,0.1,21.86,37.56,Compound,None,,,38,3.44,0.1,3.13,3.96,Artifact,Weak,,,65,2.49,20.6,1.36,305.26,Solvent,None,,,92,1.72,0,1.12,0.07,Artifact,Weak,,,119,0.86,0.1,1.72,1.11,Compound,None,,
12,6.53,0,1.42,0.25,Impurity,Weak,,,39,3.44,0,0.76,0.13,Artifact,Weak,,,66,2.35,0,1.26,0.11,Artifact,Weak,,,93,1.57,0,1.36,0.17,Impurity,Weak,,,120,0.85,0,1.65,0.7,Compound,None,,
13,6.52,0.2,1.56,3.46,Compound,None,,,40,3.42,0.1,2.78,5.6,Artifact,Weak,,,67,2.34,0.1,1.33,1.69,Solvent,Weak + C13_Sat,,,94,1.54,0,1.84,0.14,Artifact,Weak,,,121,0.85,0,1.69,0.28,Impurity,Weak,,
14,5.82,0,1.17,0.1,Artifact,Weak,,,41,3.42,0.1,2.78,4.15,Artifact,Weak,,,68,2.33,0.3,1.8,7.19,Solvent,Weak + C13_Sat,,,95,1.51,0,2.48,0.61,Impurity,None,,,122,0.84,0,4.7,2.81,Compound,None,,
15,5.75,0,1.35,0.17,Impurity,Weak,,,42,3.41,0.1,3.76,4.55,Artifact,Weak,,,69,2.33,0.4,1.7,9.36,Solvent,Weak + C13_Sat,,,96,1.41,0.1,3.14,4.8,Compound,None,,,123,0.82,0,25.31,16.2,Compound,None,,
16,5.43,0,4.33,0.31,Artifact,Weak,,,43,3.39,0,1.67,0.21,Artifact,Weak,,,70,2.32,0.3,1.67,6.46,Solvent,Weak + C13_Sat,,,97,1.39,0.1,4.48,5.17,Compound,None,,,124,0.81,0,1.06,0.08,Artifact,Weak,,
17,4.98,0,277.62,86.3,Compound,None,,,44,3.21,0,2.04,0.33,Artifact,Weak,,,71,2.32,0.1,1.31,1.68,Solvent,Weak + C13_Sat,,,98,1.36,0,2.1,0.31,Impurity,Weak,,,125,0.79,0,1.65,0.2,Impurity,Weak,,
18,4.42,0,2.65,0.21,Artifact,Weak,,,45,3.2,0,2.33,0.25,Artifact,Weak,,,72,2.3,0,1.91,0.41,Compound,None,,,99,1.3,0,1.56,0.14,Impurity,Weak,,,126,0.73,0,1.83,0.1,Artifact,Weak,,
19,4.41,0,7.34,1.26,Impurity,None,,,46,3.19,0,1.9,0.24,Artifact,Weak,,,73,2.29,0,3.57,1.68,Compound,None,,,100,1.3,0,1.49,0.2,Impurity,Weak,,,127,0.13,0,0.96,0.19,Impurity,Weak,,
