,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,,,,,,,,,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.05,62.5,0.5,453.18,Artifact,Weak,,,26,5.32,55,7.36,5902.19,Artifact,Weak,,,,,,,,,,,,76,1.08,53,0.87,433.7,Artifact,Weak,,
2,12.56,54.7,0.73,460.6,Artifact,Weak,,,27,5.26,60.4,4.18,2915.22,Artifact,Weak,,,,,,,,,,,,77,1.07,544.1,0.89,6142.3,Compound,None,,
3,11.47,52.6,0.53,341.61,Artifact,Weak,,,28,5.22,84.4,2.65,3131.23,Impurity,Weak,,,,,,,,,,,,78,1.06,248.1,1.9,5165.97,Compound,None,,
4,11.07,55.3,0.6,335.19,Artifact,Weak,,,29,4.57,74.4,44.48,48186.94,Compound,None,,,,,,,,,,,,79,1.05,1091.9,0.94,13624.03,Compound,None,,
5,10.87,65.8,0.74,499.16,Artifact,Weak,,,30,4.45,68.2,18.6,15674.31,Artifact,Weak,,,,,,,,,,,,80,1.05,2358.2,2.64,77254.58,Compound,None,,
6,10.2,85.6,1.07,1088.71,Impurity,Weak,,,31,4.36,59,1.04,752.96,Artifact,Weak,,,,,,,,,,,,81,1.04,2480.6,2.54,78214.21,Compound,None,,
7,9.38,53,0.61,412.67,Artifact,Weak,,,32,4.34,111.5,2.42,2672.15,Impurity,None,,,,,,,,,,,,82,1.04,412.7,0.62,2974.02,Compound,None,,
8,9.25,58.3,0.49,349.37,Artifact,Weak,,,33,4.33,72.2,2.91,2731.92,Impurity,Weak,,,,,,,,,,,,83,1.03,3788.2,3.42,147917.8,Compound,None,,
9,8.4,57.2,0.42,276.04,Artifact,Weak,,,34,4.31,89.4,1.67,1965.12,Impurity,Weak,,,,,,,,,,,,84,1.02,418.1,3.98,24244.96,Compound,None,,
10,8.13,92.9,2,1801.27,Impurity,Weak,,,35,4.01,74.4,2.24,2256.36,Impurity,Weak,,,,,,,,,,,,85,1,196,3.17,7551.55,Compound,None,,
11,7.61,52.5,1.57,1022.32,Artifact,Weak,,,36,2.23,416.3,2.46,13854.96,Compound,None,,,,,,,,,,,,86,0.99,55,1.61,851.69,Artifact,Weak,,
12,7.22,1717.7,29.79,672063.65,Compound,None,,,37,2.21,863.2,2.59,30755.34,Compound,None,,,,,,,,,,,,87,0.93,253.7,210.08,501319.59,Compound,None,,
13,7.1,506,22.39,140075.85,Compound,None,,,38,2.2,70.2,2.23,1609.8,Artifact,Weak,,,,,,,,,,,,88,0.89,151.7,4.93,9598.03,Compound,None,,
