,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.67,67.6,0.96,788.56,Artifact,Weak,,,27,4.34,2121.7,2.06,53210.75,Compound,None,,
2,15.45,62.5,0.71,583.09,Artifact,Weak,,,28,4.33,1418.5,1.95,36514.97,Compound,None,,
3,15.43,58.9,0.87,693.98,Artifact,Weak,,,29,4.31,117.4,3.42,5737.43,Impurity,Weak,,
4,14.55,60.4,0.48,416.68,Artifact,Weak,,,30,4.29,61.6,0.43,327.24,Artifact,Weak,,
5,14.22,60.6,0.7,533.59,Artifact,Weak,,,31,1.91,1170.9,1.2,16127.13,Compound,None,,
6,12.86,59.5,0.44,331.88,Artifact,Weak,,,32,1.86,112.4,33.07,41770.74,Compound,None,,
7,12.71,60.2,1.13,952.06,Artifact,Weak,,,33,1.81,61.6,0.52,393.26,Artifact,Weak,,
8,12.29,75,0.52,487.53,Artifact,Weak,,,34,1.75,102,1.67,1837.04,Impurity,Weak,,
9,11.6,63.5,0.58,529.04,Artifact,Weak,,,35,1.64,69.5,4.21,3142.79,Artifact,Weak,,
10,11.23,58.6,0.59,501.8,Artifact,Weak,,,36,1.52,378.8,7.63,42076.95,Compound,None,,
11,10.2,210.4,1.53,3762.49,Impurity,Weak,,,37,1.5,382.5,4.66,24150.32,Compound,None,,
12,9.84,61,1.06,609.85,Artifact,Weak,,,38,1.49,249.9,3.1,11268.7,Compound,None,,
13,8.19,59,0.87,653.91,Artifact,Weak,,,39,1.47,63.5,0.98,908.27,Artifact,Weak,,
14,7.71,59.8,0.54,450.13,Artifact,Weak,,,40,1.41,63.9,0.74,622.9,Artifact,Weak,,
15,7.23,66.2,0.7,607.74,Artifact,Weak,,,41,1.35,340,2.04,9457.87,Compound,None,,
16,7.09,2237.5,79.06,1945253.43,Compound,None,,,42,1.34,95.4,1.91,2600.76,Compound,None,,
17,7,369.5,69.56,300176.17,Compound,None,,,43,1.32,122.9,3.17,5418.72,Impurity,Weak,,
18,6.97,282.4,32,101366.78,Compound,None,,,44,1.3,158.6,2,4453.06,Impurity,Weak,,
19,6.8,167,1.03,2139.72,Impurity,Weak,,,45,1.3,162.6,2.28,4564.43,Impurity,Weak,,
20,6.53,522,1.38,8486.19,Compound,None,,,46,1.28,114.4,2.07,3394.75,Compound,Weak,,
21,6.52,3593.8,1.65,73905.65,Compound,None,,,47,1.26,577.1,9.61,80796.36,Compound,None,,
22,6.45,73.5,0.67,665.2,Artifact,Weak,,,48,1.24,1154.1,4.92,75231.41,Compound,None,,
23,6.19,58.5,1.36,1056.24,Artifact,Weak,,,49,1.23,2234,3.62,109611.9,Compound,None,,
24,5.75,66.7,3.54,3437.68,Artifact,Weak,,,50,1.21,114.6,0.51,772.33,Impurity,Weak,,
25,5.64,60.1,0.72,420.53,Artifact,Weak,,,51,1.19,855.3,1.65,17756.11,Compound,None,,
26,4.36,876.1,2,22120.99,Compound,None,,,52,1.16,296.2,1.86,6775.85,Compound,None,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,53,1.15,605.7,3.77,28341.75,Compound,None,,
,,,,,,,,,54,1.12,93.5,0.89,943.17,Impurity,Weak,,
,,,,,,,,,55,1.11,85.4,2.33,2859.01,Impurity,Weak,,
,,,,,,,,,56,1.11,241,1.23,3364.46,Impurity,Weak,,
,,,,,,,,,57,1.09,101.9,2.07,2763.4,Compound,Weak,,
,,,,,,,,,58,1.07,5056.7,1.23,73411.11,Compound,None,,
,,,,,,,,,59,1.06,112.5,1.74,1871.25,Compound,Weak,,
,,,,,,,,,60,1.05,10429.4,1.28,165019.04,Compound,None,,
,,,,,,,,,61,1.05,2184.7,2.32,62407.19,Compound,None,,
,,,,,,,,,62,1.04,6780,1.68,150647.96,Compound,None,,
,,,,,,,,,63,1.04,5852,1.25,86291.1,Compound,None,,
,,,,,,,,,64,1.03,6685,1.8,148942.36,Compound,None,,
,,,,,,,,,65,1.02,519.6,2.53,16006.5,Compound,None,,
,,,,,,,,,66,1,255.9,3.09,8101.14,Compound,None,,
,,,,,,,,,67,0.9,105.9,1.3,1629.15,Impurity,Weak,,
,,,,,,,,,68,0.89,131.1,1.77,3084.57,Compound,Weak,,
,,,,,,,,,69,0.87,362.9,17.28,90657.88,Compound,None,,
,,,,,,,,,70,0.86,190.1,1.57,4238.98,Compound,Weak,,
,,,,,,,,,71,0.86,632.1,6.71,61812.21,Compound,None,,
,,,,,,,,,72,0.85,227.8,2.82,9370.03,Compound,None,,
,,,,,,,,,73,0.83,325.2,8.41,34375.3,Compound,None,,
,,,,,,,,,74,0.81,257.7,10.69,37667.92,Compound,None,,
,,,,,,,,,75,0.08,75.1,1.16,1252.57,Artifact,Weak,,
,,,,,,,,,76,0.07,294.4,2.29,8602.68,Impurity,None,,
,,,,,,,,,77,-3.14,57.6,0.89,589.03,Artifact,Weak,,
