,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.65,0,0.69,0.05,Artifact,Weak,,,28,4.18,0,1.05,0.19,Impurity,None,,,55,3.46,0.1,1.45,1.37,Artifact,Weak,,,82,2.51,21.3,1.17,284.79,Solvent,None,,,109,2.07,0,0.72,0.23,Compound,None,,,136,1,0,4.05,0.87,Compound,None,,
2,14.15,0,0.44,0.03,Artifact,Weak,,,29,4.11,0,1.08,0.08,Artifact,Weak,,,56,3.45,0.2,1.16,2.85,Artifact,Weak,,,83,2.5,56.1,1.59,1134.23,Solvent,None,,,110,2.07,0,1.63,0.16,Compound,None,,,137,0.98,0,0.81,0.15,Compound,Weak,,
3,11.97,0,60.09,3.99,Artifact,Weak,,,30,4.1,0,1.79,0.32,Impurity,None,,,57,3.45,0,5.17,3.29,Artifact,Weak,,,84,2.5,85.3,1.58,1748.48,Solvent,None,,,111,2.06,0,1.48,0.16,Compound,None,,,138,0.89,0,2.23,0.23,Compound,Weak,,
4,11.26,0,0.84,0.05,Artifact,Weak,,,31,4.09,0,1.8,0.33,Impurity,None,,,58,3.44,0.2,1.17,2.66,Artifact,Weak,,,85,2.5,55.2,1.44,984.11,Solvent,None,,,112,2.04,0,20.41,2.69,Compound,None,,,139,0.87,0.1,6.71,5,Compound,None,,
5,11.07,0,0.82,0.16,Impurity,None,,,32,4.07,0,0.75,0.05,Artifact,Weak,,,59,3.44,0.2,1.09,2.87,Artifact,Weak,,,86,2.49,22,1.41,338.81,Solvent,None,,,113,1.98,0,0.84,0.06,Impurity,Weak,,,140,0.86,0.1,2.15,2.67,Compound,None,,
6,10.29,0,0.95,0.05,Artifact,Weak,,,33,4.03,0.1,3.78,3.44,Compound,None,,,60,3.42,0.2,1.33,3.67,Artifact,Weak,,,87,2.43,0,1.14,0.13,Artifact,Weak,,,114,1.91,0.9,0.87,9.4,Compound,None,,,141,0.86,0.1,2.62,4.4,Compound,None,,
7,9.66,0,0.68,0.05,Impurity,Weak,,,34,4.01,0,2.99,0.44,Compound,None,,,61,3.42,0.1,1.04,0.82,Artifact,Weak,,,88,2.42,0,0.78,0.08,Artifact,Weak,,,115,1.75,0,1.6,0.49,Compound,None,,,142,0.85,0.1,2.84,2.6,Compound,None,,
8,9.65,0,0.56,0.04,Artifact,Weak,,,35,3.95,0,9.2,2.09,Compound,None,,,62,3.41,0.1,18.49,17.84,Artifact,Weak,,,89,2.42,0,1.45,0.12,Artifact,Weak,,,116,1.74,0,1.04,0.1,Artifact,Weak,,,143,0.85,0.1,2.93,4.72,Compound,None,,
9,8.13,0.1,2.23,2.04,Compound,None,,,36,3.83,0,11.96,2.84,Compound,None,,,63,3.41,0.1,1.25,1.1,Artifact,Weak,,,90,2.37,0,9.26,0.71,Artifact,Weak,,,117,1.35,0,2.67,0.68,Compound,None,,,144,0.84,0.2,4.14,8.86,Compound,None,,
10,7.2,0.1,35.18,37.46,Compound,None,,,37,3.81,0,0.53,0.04,Artifact,Weak,,,64,3.19,0,1,0.07,Artifact,Weak,,,91,2.34,0.1,1.22,1.68,Solvent,Weak + C13_Sat,,,118,1.3,0,2.39,0.43,Compound,None,,,145,0.83,0.1,5.27,5.87,Compound,None,,
11,7.18,0,1.35,0.1,Artifact,Weak,,,38,3.79,0,1.04,0.14,Impurity,Weak,,,65,3.17,0.1,1.09,1.46,Artifact,Weak,,,92,2.33,0.3,1.58,6.26,Solvent,Weak + C13_Sat,,,119,1.26,0,0.6,0.04,Artifact,Weak,,,146,0.82,0.1,3.71,2.96,Compound,None,,
12,7.09,0.2,45.95,85.01,Compound,None,,,39,3.78,0,1.1,0.07,Artifact,Weak,,,66,3.16,0.1,1.19,1.5,Artifact,Weak,,,93,2.33,0.4,1.6,9.09,Solvent,Weak + C13_Sat,,,120,1.26,0,0.77,0.15,Compound,None,,,147,0.81,0.1,5.31,4.12,Compound,None,,
13,6.99,0.1,31.12,20.05,Compound,None,,,40,3.78,0,1.03,0.25,Impurity,None,,,67,3.14,0,5.69,0.65,Artifact,Weak,,,94,2.32,0.3,1.57,6.32,Solvent,Weak + C13_Sat,,,121,1.25,0.1,42.1,46.3,Compound,None,,,148,0.8,0,3.87,2.69,Compound,None,,
14,6.94,0,25.99,6.76,Compound,None,,,41,3.76,0,1.08,0.18,Impurity,None,,,68,2.96,0,1.39,0.35,Compound,None,,,95,2.32,0.1,1.37,1.93,Solvent,Weak + C13_Sat,,,122,1.23,0.2,4.44,13.62,Compound,None,,,149,0.79,0,0.81,0.09,Compound,Weak,,
15,6.52,0.1,1.23,0.96,Compound,None,,,42,3.76,0,1.24,0.2,Impurity,None,,,69,2.96,0.1,1.9,1.73,Compound,None,,,96,2.3,0,1.08,0.29,Impurity,None,,,123,1.15,0,3.34,1.97,Compound,None,,,150,0.79,0,1.46,0.61,Compound,None,,
16,6.02,0,1.67,0.14,Artifact,Weak,,,43,3.75,0,1.19,0.27,Impurity,None,,,70,2.95,0.1,1.89,2.64,Compound,None,,,97,2.3,0,2.58,0.32,Impurity,Weak,,,124,1.14,0,7.52,1.09,Compound,None,,,151,0.78,0,1.92,1.06,Compound,None,,
17,5.75,0,1.83,0.32,Impurity,None,,,44,3.73,0,1.02,0.11,Impurity,Weak,,,71,2.95,0.1,1.88,1.71,Compound,None,,,98,2.28,0,2.47,0.22,Artifact,Weak,,,125,1.12,0,1.96,0.28,Compound,None,,,152,0.78,0,1.47,0.27,Compound,None,,
18,5.23,0,2.12,0.14,Artifact,Weak,,,45,3.64,0,0.63,0.14,Impurity,None,,,72,2.94,0,1.5,0.46,Compound,None,,,99,2.22,0,2.34,0.13,Artifact,Weak,,,126,1.11,0,7.1,1.13,Compound,None,,,153,0.76,0,3.76,1.74,Compound,None,,
19,5.22,0,1.88,0.44,Compound,None,,,46,3.63,0,1.36,0.31,Impurity,None,,,73,2.92,0,2.41,0.17,Artifact,Weak,,,100,2.22,0,1.09,0.08,Impurity,Weak,,,127,1.11,0.2,0.96,2,Compound,None,,,154,0.74,0,1.74,0.44,Compound,None,,
20,5.21,0,1.36,0.18,Compound,None,,,47,3.57,0,1.09,0.31,Artifact,Weak,,,74,2.68,0.1,1.26,1.71,Solvent,Weak + C13_Sat,,,101,2.21,0,2.78,0.49,Compound,None,,,128,1.07,0.5,0.81,4.69,Compound,None,,,155,0.74,0,43.12,10.75,Compound,None,,
