,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.46,0,427.73,39.09,Compound,None,,,30,6.53,0,1.58,0.96,Compound,None,,,59,5.6,0,3.94,1.4,Compound,None,,,88,4.95,0,4.38,1.26,Compound,None,,,117,4.64,0,3.36,1.24,Compound,None,,,146,4.23,0,6.27,2.58,Compound,None,,,175,3.66,0.2,2.32,5.62,Artifact,Weak,,,204,3.39,0.6,6.63,58.21,Artifact,Weak,,,233,3.02,0.2,3.3,6.95,Artifact,Weak,,,262,2.5,55.8,1.94,1333.49,Solvent,None,,,291,2.18,0,1.6,0.28,Compound,None,,,320,1.29,0,3.21,0.97,Compound,None,,,349,0.98,0,1.38,0.46,Compound,None,,
2,11.95,0,118.6,12.99,Compound,None,,,31,6.52,0,2.29,0.97,Compound,None,,,60,5.46,0,5.65,0.74,Impurity,Weak,,,89,4.94,0,3.1,0.93,Compound,None,,,118,4.63,0.3,2.93,13.65,Compound,None,,,147,4.22,0,1.88,0.74,Compound,None,,,176,3.66,0.2,2.48,7.07,Artifact,Weak,,,205,3.28,0,10.67,5.15,Artifact,Weak,,,234,3.02,0.1,2.44,3.5,Artifact,Weak,,,263,2.5,78.6,1.6,1579.05,Solvent,None,,,292,2.16,0,2.28,0.34,Impurity,Weak,,,321,1.27,0,8.3,3.31,Compound,None,,,350,0.97,0,1.01,0.15,Impurity,Weak,,
3,11.27,0,11.44,1.17,Artifact,Weak,,,32,6.48,0,1.4,0.21,Impurity,Weak,,,61,5.44,0,3.21,0.5,Impurity,Weak,,,90,4.93,0,2.73,0.87,Compound,None,,,119,4.61,0.3,2.72,11.3,Compound,None,,,148,4.21,0,2.3,0.75,Compound,None,,,177,3.65,0.3,3.32,12.53,Artifact,Weak,,,206,3.27,0,2.68,1.32,Artifact,Weak,,,235,3.01,0.2,2.58,6.43,Artifact,Weak,,,264,2.5,58.2,1.83,1335.34,Solvent,None,,,293,2.13,0.1,0.85,0.74,Compound,None,,,322,1.26,0,2.95,0.98,Compound,None,,,351,0.91,0,0.92,0.23,Compound,Weak,,
4,11.08,0,1.2,0.45,Impurity,None,,,33,6.46,0,1.4,0.19,Impurity,Weak,,,62,5.41,0,9.7,2.77,Compound,None,,,91,4.92,0,2.27,0.68,Compound,None,,,120,4.59,0.5,2.2,13.17,Compound,None,,,149,4.2,0,2.9,1.03,Compound,None,,,178,3.64,0.2,3.28,7.01,Artifact,Weak,,,207,3.26,0.2,2.48,5.59,Artifact,Weak,,,236,3,0.1,2.87,3.56,Artifact,Weak,,,265,2.49,20.5,1.45,312.42,Solvent,None,,,294,2.12,0.1,0.92,0.93,Compound,None,,,323,1.24,0.2,11.24,27.99,Compound,None,,,352,0.9,0,0.96,0.12,Impurity,Weak,,
5,9.65,0,1.11,0.33,Impurity,Weak,,,34,6.39,0,1.67,0.23,Impurity,Weak,,,63,5.38,0,1.61,0.19,Impurity,Weak,,,92,4.91,0,2.16,0.55,Compound,None,,,121,4.58,0.5,2.2,14.61,Compound,None,,,150,4.18,0,1.62,0.54,Compound,None,,,179,3.64,0.2,2.48,7.87,Artifact,Weak,,,208,3.25,0.2,2.84,6.51,Artifact,Weak,,,237,3,0,1.59,0.9,Artifact,Weak,,,266,2.42,0,5.34,0.37,Artifact,Weak,,,295,2.1,0,2.48,0.35,Compound,Weak,,,324,1.23,0.3,3.46,14.33,Compound,None,,,353,0.89,0,1.78,0.85,Compound,None,,
6,9.65,0,1.01,0.31,Impurity,Weak,,,35,6.37,0,1.7,0.19,Impurity,Weak,,,64,5.38,0,2.8,0.5,Impurity,Weak,,,93,4.91,0.2,2.32,7.26,Compound,None,,,122,4.57,0,1.31,0.25,Compound,Weak,,,151,4.15,0.1,4.26,5.04,Compound,None,,,180,3.63,0.2,2.48,7.87,Artifact,Weak,,,209,3.24,0.1,2.46,4.72,Artifact,Weak,,,238,2.98,0.1,2.69,3.09,Artifact,Weak,,,267,2.41,0,4.54,1.17,Artifact,Weak,,,296,2.09,0.1,1.47,1.14,Compound,None,,,325,1.21,0,6.48,2.37,Compound,None,,,354,0.89,0,4.23,1.09,Compound,None,,
7,9.64,0,0.99,0.09,Artifact,Weak,,,36,6.33,0,1.28,0.16,Impurity,Weak,,,65,5.32,0,9.51,3.95,Compound,None,,,94,4.9,0.4,2.93,14.46,Compound,None,,,123,4.56,0,2.68,0.48,Compound,None,,,152,4.13,0.1,5.16,7.25,Compound,None,,,181,3.62,0.1,2.42,2.11,Artifact,Weak,,,210,3.23,0.3,2.72,10.1,Artifact,Weak,,,239,2.96,0,1.32,0.36,Impurity,None,,,268,2.4,0,0.98,0.08,Artifact,Weak,,,297,2.08,0.3,0.93,3.11,Compound,None,,,326,1.19,0,1.14,0.24,Compound,Weak,,,355,0.87,0.1,8.62,14.33,Compound,None,,
8,8.28,0,2.28,0.2,Artifact,Weak,,,37,6.33,0,2.45,0.25,Artifact,Weak,,,66,5.28,0,1.27,0.12,Artifact,Weak,,,95,4.89,0.2,1.92,4.37,Compound,None,,,124,4.54,0,2.39,0.53,Impurity,None,,,153,4.11,0,2.21,0.4,Compound,Weak,,,182,3.61,0,2.57,1.72,Artifact,Weak,,,211,3.22,0.1,2.48,4.69,Artifact,Weak,,,240,2.96,0.1,2.23,3.9,Compound,None,,,269,2.4,0,1.99,0.27,Artifact,Weak,,,298,2.07,0.1,1.57,1.24,Compound,None,,,327,1.18,0,0.74,0.1,Impurity,Weak,,,356,0.86,0.1,2.72,4.79,Compound,None,,
9,8.14,0.1,3.43,6.18,Compound,None,,,38,6.32,0,1.19,0.09,Artifact,Weak,,,67,5.24,0,1.95,0.42,Impurity,Weak,,,96,4.88,0.5,2.43,16.95,Compound,None,,,125,4.51,0,3.99,0.58,Compound,None,,,154,4.09,0,2.04,0.26,Impurity,Weak,,,183,3.6,0.1,2.97,3.81,Artifact,Weak,,,212,3.22,0.1,2.69,4.7,Artifact,Weak,,,241,2.95,0.2,1.99,4.79,Compound,None,,,270,2.39,0,4.67,1.1,Artifact,Weak,,,299,2.06,0,1.6,0.43,Compound,None,,,328,1.17,0,2.2,0.25,Impurity,Weak,,,357,0.85,0.2,3.07,6.27,Compound,None,,
10,8.05,0,3.8,0.6,Impurity,Weak,,,39,6.27,0,2.6,0.26,Artifact,Weak,,,68,5.23,0,2.72,0.55,Impurity,Weak,,,97,4.87,0.6,2.32,16.42,Compound,None,,,126,4.5,0,2.99,0.86,Compound,None,,,155,4.07,0,1.65,0.24,Impurity,Weak,,,184,3.6,0,1.91,1.07,Artifact,Weak,,,213,3.21,0.1,2.5,4.33,Artifact,Weak,,,242,2.95,0.3,2.91,12.55,Compound,None,,,271,2.37,0,3.13,0.78,Impurity,None,,,300,2.06,0,3.37,1.91,Compound,None,,,329,1.16,0,2,0.4,Compound,Weak,,,358,0.85,0.2,4.32,11.64,Compound,None,,
