,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.16,0,0.69,0.07,Artifact,Weak,,,30,6.09,0,2.46,0.4,Impurity,Weak,,,59,4.74,0.6,3.23,23.17,Compound,None,,,88,4.28,0.2,1.71,5.15,Impurity,None,,,117,3.62,0,2.24,1.1,Artifact,Weak,,,146,3.25,0.1,2.2,2.91,Artifact,Weak,,,175,2.9,0.1,2.07,2.93,Compound,None,,,204,2.26,0.2,1.59,3.77,Impurity,None,,,233,1.5,0,30.5,15.45,Compound,None,,,262,1.03,0.5,1.98,14.92,Compound,None,,
2,11.72,0,2.13,0.53,Impurity,Weak,,,31,5.78,0,2.93,0.64,Impurity,Weak,,,60,4.74,0.3,2.7,10.37,Compound,None,,,89,4.26,0.2,2.05,6.04,Compound,None,,,118,3.61,0.1,2.08,1.69,Artifact,Weak,,,147,3.24,0.1,2.4,3.71,Artifact,Weak,,,176,2.89,0.1,2.85,4.51,Compound,None,,,205,2.25,0,1.8,0.25,Impurity,Weak,,,234,1.35,0,1.5,0.58,Impurity,Weak,,,263,1.02,0.1,3.25,3.77,Impurity,None,,
3,10.2,0.1,1.57,2.55,Impurity,None,,,32,5.65,0,4.63,0.73,Impurity,Weak,,,61,4.72,0,3.03,1.39,Impurity,Weak,,,90,4.26,0.2,1.91,6.28,Compound,None,,,119,3.61,0.1,1.83,1.71,Artifact,Weak,,,148,3.23,0.2,2.5,6.58,Artifact,Weak,,,177,2.87,0.2,3.52,7.76,Compound,None,,,206,2.24,0.1,1.39,1.88,Impurity,None,,,235,1.33,0,1.28,0.2,Impurity,Weak,,,264,1.01,0,9.88,3.03,Impurity,None,,
4,8.14,0,4.02,0.59,Impurity,Weak,,,33,5.63,0,1.98,0.33,Impurity,Weak,,,62,4.67,0,2.06,0.27,Impurity,Weak,,,91,4.25,0.3,1.83,6.21,Compound,None,,,120,3.6,0.1,2.66,2.01,Artifact,Weak,,,149,3.22,0.1,2.28,3.13,Artifact,Weak,,,178,2.86,0.1,2.44,2.73,Compound,None,,,207,2.23,0,2.59,1.05,Impurity,Weak,,,236,1.3,0,3.35,0.64,Impurity,Weak,,,265,1,0,4.33,1.74,Impurity,None,,
5,8.05,0,5.85,0.47,Artifact,Weak,,,34,5.32,0,10.29,2.56,Impurity,None,,,63,4.66,0,4.08,1.78,Impurity,None,,,92,4.22,0,5.6,1.99,Impurity,None,,,121,3.59,0.1,1.59,1.16,Artifact,Weak,,,150,3.22,0.1,2.32,3.02,Artifact,Weak,,,179,2.85,0.1,2.08,2.49,Compound,None,,,208,2.22,0,1.92,0.68,Impurity,Weak,,,237,1.26,0.1,37.71,61.9,Compound,None,,,266,0.98,0,1.31,0.33,Impurity,Weak,,
6,7.89,0,1.21,0.1,Artifact,Weak,,,35,5.23,0,1.94,0.29,Impurity,Weak,,,64,4.65,0,1.92,0.25,Impurity,Weak,,,93,4.21,0,1.27,0.11,Artifact,Weak,,,122,3.58,0,1.61,0.65,Artifact,Weak,,,151,3.21,0.1,2.19,3.21,Artifact,Weak,,,180,2.75,0,1.7,0.11,Artifact,Weak,,,209,2.21,0,2.58,1.19,Impurity,Weak,,,238,1.24,0.2,5.03,9.87,Compound,None,,,267,0.97,0,0.67,0.06,Artifact,Weak,,
7,7.69,0,3.72,0.44,Impurity,Weak,,,36,5.22,0,2.71,0.45,Impurity,Weak,,,65,4.64,0,1.76,0.22,Impurity,Weak,,,94,4.2,0,3.05,0.56,Impurity,Weak,,,123,3.58,0.2,2.08,4.28,Artifact,Weak,,,152,3.16,0.1,2.42,2.44,Artifact,Weak,,,181,2.68,0.1,1.38,1.73,Solvent,Weak + C13_Sat,,,210,2.2,0,2.09,0.78,Impurity,Weak,,,239,1.23,0.3,3.62,16.98,Compound,None,,,268,0.91,0,0.71,0.1,Impurity,Weak,,
8,7.42,0,0.84,0.11,Impurity,Weak,,,37,5.14,0,2.29,0.23,Impurity,Weak,,,66,4.64,0,9.24,3.88,Compound,None,,,95,4.18,0,1,0.09,Artifact,Weak,,,124,3.57,0.3,2.69,10.71,Compound,None,,,153,3.15,0.1,2.11,2.14,Artifact,Weak,,,182,2.67,0.3,1.7,6.19,Solvent,Weak + C13_Sat,,,211,2.19,0,7.77,1.7,Impurity,Weak,,,240,1.22,0,5.63,2.81,Impurity,None,,,269,0.9,0,1.08,0.23,Impurity,Weak,,
9,7.37,0,271.74,177.91,Compound,None,,,38,5.14,0,0.87,0.1,Artifact,Weak,,,67,4.62,0.3,3.11,12.23,Compound,None,,,96,4.13,0.1,3.63,4.43,Compound,None,,,125,3.56,0.3,2.57,9.31,Artifact,Weak,,,154,3.14,0.1,3.23,4.74,Artifact,Weak,,,183,2.67,0.4,1.72,9.38,Solvent,Weak + C13_Sat,,,212,2.18,0,2.2,0.42,Impurity,Weak,,,241,1.21,0,9.49,4.1,Impurity,None,,,270,0.89,0,3.21,0.53,Impurity,Weak,,
10,7.13,0.1,48.32,44.32,Compound,None,,,39,5.11,0.1,10,8.39,Compound,None,,,68,4.61,0.3,2.81,9.75,Compound,None,,,97,4.12,0.1,3.62,4.83,Compound,None,,,126,3.54,0.3,3.67,14.59,Artifact,Weak,,,155,3.13,0.3,3.45,10.56,Artifact,Weak,,,184,2.66,0.3,1.61,5.83,Solvent,Weak + C13_Sat,,,213,2.16,0,1.12,0.14,Impurity,Weak,,,242,1.2,0,1.57,0.11,Artifact,Weak,,,271,0.87,0.1,14.15,19.61,Compound,None,,
11,7.11,0.3,52.36,170.73,Compound,None,,,40,5.1,0,2.58,0.85,Impurity,Weak,,,69,4.59,0.4,2.2,10.59,Compound,None,,,98,4.04,0,0.87,0.06,Artifact,Weak,,,127,3.54,0.1,3.27,5.74,Artifact,Weak,,,156,3.12,0.2,2.58,5.26,Artifact,Weak,,,185,2.66,0.1,1.69,2.71,Solvent,Weak + C13_Sat,,,214,2.13,0,0.73,0.12,Impurity,Weak,,,243,1.19,0,1.07,0.16,Impurity,Weak,,,272,0.86,0.1,2.59,3.36,Compound,None,,
12,6.83,0,1.23,0.14,Artifact,Weak,,,41,5.03,0,2.15,0.28,Impurity,Weak,,,70,4.57,0.4,2.2,10.62,Compound,None,,,99,4.03,0,5.75,1.02,Impurity,Weak,,,128,3.53,0.3,2.93,10.31,Artifact,Weak,,,157,3.11,0.3,2.89,10.38,Artifact,Weak,,,186,2.6,0.1,116.65,152.26,Artifact,Weak,,,215,2.12,0,1.24,0.19,Impurity,Weak,,,244,1.18,0,1.4,0.22,Impurity,Weak,,,273,0.85,0.1,2.93,4.22,Compound,None,,
13,6.82,0,1.22,0.11,Impurity,Weak,,,42,5.02,0,2.34,0.2,Artifact,Weak,,,71,4.56,0,1.91,0.24,Impurity,Weak,,,100,4.01,0,1.55,0.16,Impurity,Weak,,,129,3.53,0.1,2.87,4.99,Artifact,Weak,,,158,3.1,0.2,3.44,10.09,Artifact,Weak,,,187,2.56,0,1.19,0.4,Artifact,Weak,,,216,2.09,0,1.71,1.09,Impurity,None,,,245,1.17,0,1.54,0.22,Impurity,Weak,,,274,0.85,0.2,4.21,10.6,Compound,None,,
