,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.4,0,0.76,0.07,Artifact,Weak,,,29,2.68,0.1,1.68,2.27,Solvent,Weak + C13_Sat,,,57,1.7,0,0.86,0.06,Artifact,Weak,,
2,14.04,0,0.48,0.04,Artifact,Weak,,,30,2.67,0.3,2.1,8.6,Solvent,Weak + C13_Sat,,,58,1.51,0,11.9,2.26,Compound,None,,
3,13.54,0,0.5,0.04,Artifact,Weak,,,31,2.67,0.4,1.68,9.03,Solvent,Weak + C13_Sat,,,59,1.36,0,2.35,1.17,Compound,None,,
4,13.29,0,1.22,0.12,Artifact,Weak,,,32,2.66,0.3,1.92,7.63,Solvent,Weak + C13_Sat,,,60,1.3,0,0.8,0.11,Impurity,Weak,,
5,10.08,0,0.75,0.06,Artifact,Weak,,,33,2.66,0.1,1.55,2.17,Solvent,Weak + C13_Sat,,,61,1.3,0,1.56,0.13,Impurity,Weak,,
6,9.83,0,0.65,0.04,Artifact,Weak,,,34,2.65,0,0.44,0.02,Artifact,Weak,,,62,1.27,0,3.47,0.42,Impurity,Weak,,
7,9.09,0,0.55,0.04,Artifact,Weak,,,35,2.63,0,0.57,0.04,Artifact,Weak,,,63,1.26,0,2.59,0.51,Compound,None,,
8,8.16,0,0.63,0.05,Artifact,Weak,,,36,2.52,0.1,1.29,2.24,Artifact,Weak,,,64,1.24,0.1,6.09,5.19,Compound,None,,
9,7.08,0.1,85.95,60.51,Compound,None,,,37,2.51,21.3,1.65,413.48,Solvent,None,,,65,1.23,0.1,3.26,5.76,Compound,None,,
10,6.54,0,1.51,0.26,Compound,None,,,38,2.5,54.5,2.02,1363.19,Solvent,None,,,66,1.19,0,2.74,0.28,Impurity,Weak,,
11,6.53,0.2,1.6,3.46,Compound,None,,,39,2.5,78.3,1.82,1820.58,Solvent,None,,,67,1.17,0,1.53,0.17,Compound,Weak,,
12,6.52,0.6,1.73,12.43,Compound,None,,,40,2.5,54.2,1.81,1193.28,Solvent,None,,,68,1.15,0.1,3.69,2.34,Compound,None,,
13,6.22,0,0.78,0.06,Artifact,Weak,,,41,2.49,20.9,1.65,369.26,Solvent,None,,,69,1.1,0,0.42,0.03,Artifact,Weak,,
14,5.74,0,3.97,1.53,Compound,None,,,42,2.43,0,0.86,0.1,Artifact,Weak,,,70,1.07,0,1.44,0.09,Artifact,Weak,,
15,5.41,0,2.69,0.54,Compound,None,,,43,2.34,0.1,1.79,2.51,Solvent,Weak + C13_Sat,,,71,1.05,0,3.04,1.25,Compound,None,,
16,4.64,0,0.82,0.07,Artifact,Weak,,,44,2.33,0.3,1.98,7.83,Solvent,Weak + C13_Sat,,,72,1.05,0.1,2.64,2.47,Compound,None,,
17,4.03,0,2.32,0.32,Impurity,Weak,,,45,2.33,0.4,1.82,9.85,Solvent,Weak + C13_Sat,,,73,1.03,0.1,4.54,6.73,Compound,None,,
18,3.95,0,7.55,0.89,Compound,None,,,46,2.32,0.3,1.95,7.49,Solvent,Weak + C13_Sat,,,74,1.02,0,0.55,0.04,Artifact,Weak,,
19,3.51,0.1,2.73,4.94,Compound,None,,,47,2.32,0.1,1.58,2.04,Solvent,Weak + C13_Sat,,,75,0.86,0,1.48,0.13,Artifact,Weak,,
20,3.48,0,10.01,2.51,Compound,None,,,48,2.31,0,0.72,0.06,Artifact,Weak,,,76,0.85,0,1.55,0.34,Impurity,None,,
21,3.45,0,7.09,0.62,Artifact,Weak,,,49,2.28,0,1.26,0.08,Artifact,Weak,,,77,0.72,0,0.68,0.05,Artifact,Weak,,
22,3.43,0,1.21,0.13,Artifact,Weak,,,50,2.23,0,2.32,0.3,Compound,None,,,78,0.13,0,1.43,0.19,Impurity,Weak,,
23,3.42,0,4.17,1.03,Artifact,Weak,,,51,2.22,0,0.61,0.05,Artifact,Weak,,,79,0.08,0.2,1.4,3.81,Compound,None,,
24,3.41,0,2.44,0.57,Artifact,Weak,,,52,2.21,0,2.59,0.57,Compound,None,,,80,0.07,0,3.22,0.84,Compound,None,,
25,3.39,0,0.96,0.06,Artifact,Weak,,,53,2.19,0,4.58,0.65,Compound,None,,,81,-0.29,0,0.63,0.05,Artifact,Weak,,
26,3.24,0,0.62,0.05,Artifact,Weak,,,54,1.91,0.1,1.57,1.59,Compound,None,,,82,-0.62,0,0.61,0.06,Artifact,Weak,,
27,3.23,0,41.41,15.34,Artifact,Weak,,,55,1.86,0,1.77,0.15,Artifact,Weak,,,,,,,,,,,
28,2.77,0,27.08,2.82,Artifact,Weak,,,56,1.72,0,2.5,0.21,Artifact,Weak,,,,,,,,,,,
