,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.07,0.1,1.27,0.95,Compound,None,,,30,6.33,0,1.49,0.15,Artifact,Weak,,,59,5,0,6.25,0.78,Compound,None,,,88,4.49,0,4.39,1.21,Compound,None,,,117,4.1,0,1.1,0.14,Compound,Weak,,,146,3.5,0.1,3.58,3.09,Artifact,Weak,,,175,3.12,0.1,2.33,3.08,Artifact,Weak,,,204,2.68,0.1,1.38,1.65,Solvent,Weak + C13_Sat,,,233,2.26,0.2,1.59,3.59,Compound,None,,,262,1.51,0,5.76,1.47,Compound,None,,,291,0.85,0.1,3.94,4.46,Compound,None,,
2,10.22,0,1.16,0.43,Impurity,None,,,31,6.23,0,0.71,0.06,Artifact,Weak,,,60,4.94,0,1.8,0.27,Impurity,None,,,89,4.48,0.2,2.2,4.68,Compound,None,,,118,4.04,0.1,4.02,3.71,Compound,None,,,147,3.49,0.2,4.93,11.71,Artifact,Weak,,,176,3.11,0.2,2.57,7.17,Artifact,Weak,,,205,2.67,0.3,1.77,5.89,Solvent,Weak + C13_Sat,,,234,2.25,0,1.18,0.19,Compound,Weak,,,263,1.4,0.1,4.98,8.26,Compound,None,,,292,0.84,0.1,3.95,6.59,Compound,None,,
3,9.66,0,1.46,0.13,Artifact,Weak,,,32,6.2,0.2,2.37,5.21,Compound,None,,,61,4.93,0,1.69,0.44,Impurity,None,,,90,4.47,0.3,2.32,9.06,Compound,None,,,119,3.96,0,15.07,5.05,Compound,None,,,148,3.48,0.1,4.95,7.48,Artifact,Weak,,,177,3.1,0.2,2.66,4.94,Artifact,Weak,,,206,2.67,0.4,1.86,9.38,Solvent,Weak + C13_Sat,,,235,2.24,0.1,1.42,1.62,Compound,None,,,264,1.38,0.1,5.13,7.33,Compound,None,,,293,0.83,0.1,3.98,3.43,Compound,None,,
4,9.66,0,1.7,0.5,Compound,None,,,33,6.19,0.2,2.21,4.7,Compound,None,,,62,4.92,0,2.26,0.75,Impurity,None,,,91,4.45,0.2,2.32,4.5,Compound,None,,,120,3.8,0,1.48,0.48,Impurity,None,,,149,3.47,0.2,5.87,11.31,Artifact,Weak,,,178,3.1,0.2,2.76,5.68,Artifact,Weak,,,207,2.66,0.3,1.72,5.86,Solvent,Weak + C13_Sat,,,236,2.23,0,1.58,0.26,Compound,None,,,265,1.35,0,2.51,1.07,Compound,None,,,294,0.82,0.1,5.28,4.14,Compound,None,,
5,9.65,0,1.05,0.26,Compound,None,,,34,6.14,0,3.83,0.49,Impurity,None,,,63,4.91,0.1,2.2,3.57,Compound,None,,,92,4.44,0.2,2,4.65,Compound,None,,,121,3.7,0,1.49,0.15,Artifact,Weak,,,150,3.47,0.1,2.45,4.43,Artifact,Weak,,,179,3.08,0.2,2.84,6.23,Artifact,Weak,,,208,2.66,0.1,1.39,1.83,Solvent,Weak + C13_Sat,,,237,2.22,0,2.2,0.54,Compound,None,,,266,1.3,0,2.32,0.34,Impurity,None,,,295,0.81,0,6.9,3.6,Compound,None,,
6,9.64,0,0.89,0.08,Artifact,Weak,,,35,6.13,0,2.5,0.41,Impurity,None,,,64,4.9,0.2,2.82,6.45,Compound,None,,,93,4.42,0.2,2.08,4.88,Compound,None,,,122,3.68,0.1,2.28,2.03,Compound,None,,,151,3.46,0.7,140.65,1100.6,Artifact,Weak,,,180,3.07,0.1,2.88,5.26,Artifact,Weak,,,209,2.64,0,0.97,0.07,Artifact,Weak,,,238,2.21,0,2.48,0.55,Compound,None,,,267,1.25,0.1,32.44,33.17,Compound,None,,,296,0.8,0,5.21,2.41,Compound,None,,
7,8.14,0.1,3.07,5.13,Compound,None,,,36,6.09,0,3.68,0.38,Impurity,Weak,,,65,4.89,0.1,1.78,2.69,Compound,None,,,94,4.41,0,18.48,2.11,Compound,None,,,123,3.68,0.1,2.09,1.95,Compound,None,,,152,3.45,0.2,7.29,17.14,Artifact,Weak,,,181,3.07,0,0.77,0.08,Artifact,Weak,,,210,2.6,0,0.76,0.08,Artifact,Weak,,,239,2.21,0,1.12,0.3,Compound,None,,,268,1.25,0.1,6.48,7.1,Compound,None,,,297,0.79,0,2.25,0.61,Compound,None,,
8,7.99,0,6.79,0.6,Artifact,Weak,,,37,6.07,0,0.96,0.07,Artifact,Weak,,,66,4.88,0.4,2.16,9.34,Compound,None,,,95,4.4,0.1,2.71,3.37,Compound,None,,,124,3.67,0.1,2.66,4.14,Compound,None,,,153,3.44,0.3,6.37,22.86,Artifact,Weak,,,182,3.06,0.2,2.32,4.58,Artifact,Weak,,,211,2.57,0.2,34.38,52.57,Artifact,Weak,,,240,2.2,0,4.15,0.75,Compound,None,,,269,1.24,0.2,4.08,8.92,Compound,None,,,298,0.78,0,1.7,0.58,Compound,None,,
9,7.95,0,1.66,0.17,Impurity,Weak,,,38,6.02,0,3.2,0.45,Impurity,Weak,,,67,4.87,0.4,2.32,10.44,Compound,None,,,96,4.39,0.1,2.32,3.08,Compound,None,,,125,3.66,0.1,2.09,3.19,Compound,None,,,154,3.44,0.1,2.61,2.79,Artifact,Weak,,,183,3.06,0.1,1.93,2.99,Compound,None,,,212,2.56,0,0.89,0.44,Artifact,Weak,,,241,2.18,0,7.48,2.28,Compound,None,,,270,1.23,0.3,3.71,13.18,Compound,None,,,299,0.78,0,1.62,0.14,Compound,Weak,,
10,7.94,0,1.69,0.26,Impurity,Weak,,,39,5.81,0,0.87,0.07,Artifact,Weak,,,68,4.85,0,6.68,3.22,Compound,None,,,97,4.38,0,2.58,1.13,Compound,None,,,126,3.65,0.2,3.6,7.1,Compound,None,,,155,3.43,0.2,3.48,7,Artifact,Weak,,,184,3.05,0.2,2.75,5.39,Compound,None,,,213,2.52,0.1,0.98,1.43,Artifact,Weak,,,242,2.16,0,1.43,0.28,Compound,None,,,271,1.16,0,1.54,0.15,Compound,Weak,,,300,0.76,0,3.35,0.85,Compound,None,,
