,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,11.72,0,1.15,0.1,Artifact,Weak,,,30,4.89,0.1,1.86,1.24,Compound,None,,,59,4.42,0.1,1.96,2.38,Compound,None,,,88,3.65,0.1,5.39,4.03,Compound,None,,,117,3.37,0,1.98,0.69,Artifact,Weak,,,146,2.93,0,5.54,0.54,Impurity,Weak,,,175,2.28,0,1.81,0.75,Compound,None,,,204,1.08,0,0.71,0.04,Artifact,Weak,,
2,11.19,0,1.19,0.09,Artifact,Weak,,,31,4.88,0.2,2.08,5.02,Compound,None,,,60,4.4,0,2.08,1.11,Compound,None,,,89,3.64,0,55.83,26.91,Compound,None,,,118,3.36,0,1.82,0.67,Artifact,Weak,,,147,2.92,0,1.2,0.1,Artifact,Weak,,,176,2.26,0.1,1.69,1.3,Compound,None,,,205,1.07,0.1,1.35,2.28,Compound,None,,
3,10.24,0,0.68,0.06,Artifact,Weak,,,32,4.87,0.2,2.14,5.64,Compound,None,,,61,4.4,0,2.33,0.33,Impurity,Weak,,,90,3.64,0.1,3.06,2.63,Compound,None,,,119,3.26,0.1,57.03,50.45,Artifact,Weak,,,148,2.91,0,1.82,0.58,Compound,None,,,177,2.24,0,1.55,0.47,Compound,None,,,206,1.07,0,1.03,0.59,Compound,None,,
4,10.2,0.1,1.29,0.93,Compound,None,,,33,4.86,0,2.28,0.41,Impurity,None,,,62,4.39,0.1,2.39,1.86,Compound,None,,,91,3.63,0.1,3,2.49,Compound,None,,,120,3.26,0,1.74,1.16,Artifact,Weak,,,149,2.89,0,1.89,0.52,Compound,None,,,178,2.23,0,3.43,0.41,Impurity,Weak,,,207,1.06,0,1.98,0.44,Compound,None,,
5,9.86,0,0.5,0.04,Artifact,Weak,,,34,4.86,0,1.69,0.12,Artifact,Weak,,,63,4.37,0,2.25,0.51,Impurity,None,,,92,3.62,0,1.64,0.41,Compound,None,,,121,3.25,0.1,2.6,2.1,Artifact,Weak,,,150,2.89,0,2.83,0.94,Compound,None,,,179,2.22,0,1.83,0.14,Artifact,Weak,,,208,1.05,0.1,0.92,1.13,Compound,None,,
6,9.12,0,0.62,0.04,Artifact,Weak,,,35,4.85,0,3.82,0.86,Compound,None,,,64,4.36,0,2.83,1.48,Compound,None,,,93,3.61,0,1.94,0.35,Compound,None,,,122,3.24,0.1,2.25,1.62,Artifact,Weak,,,151,2.87,0,3.02,1.79,Compound,None,,,180,2.21,0,2.41,0.7,Impurity,None,,,209,1.05,0.2,4.26,9.95,Compound,None,,
7,7.59,0,0.56,0.04,Artifact,Weak,,,36,4.84,0,3.46,0.31,Impurity,Weak,,,65,4.35,0.1,2.34,2.61,Compound,None,,,94,3.61,0,1.5,0.28,Impurity,None,,,123,3.23,0.1,2.14,2.73,Artifact,Weak,,,152,2.87,0,1.44,0.28,Compound,None,,,181,2.2,0,0.92,0.12,Impurity,Weak,,,210,1.04,0,0.85,0.45,Compound,None,,
8,7.08,0.2,56.21,112.89,Compound,None,,,37,4.82,0.2,2.84,7.25,Compound,None,,,66,4.34,0.1,2.09,1.94,Compound,None,,,95,3.6,0,1.94,0.36,Compound,None,,,124,3.22,0,2.25,1.31,Artifact,Weak,,,153,2.85,0,2.03,0.5,Compound,None,,,182,2.18,0,0.97,0.08,Artifact,Weak,,,211,1.03,0.2,2.86,5.06,Compound,None,,
9,6.57,0.1,1.54,2.53,Compound,None,,,38,4.81,0.2,2.65,6.9,Compound,None,,,67,4.33,0.2,2.95,6.97,Compound,None,,,96,3.59,0,1.47,0.41,Compound,None,,,125,3.22,0.1,2.17,1.59,Artifact,Weak,,,154,2.77,0,6.02,0.94,Compound,None,,,183,2.1,0,1.63,0.32,Impurity,None,,,212,1.03,0.1,2.6,3.61,Compound,None,,
10,6.56,0,1.06,0.08,Artifact,Weak,,,39,4.79,0,1.65,0.15,Artifact,Weak,,,68,4.32,0.1,3.19,3.58,Compound,None,,,97,3.59,0,1.65,0.2,Compound,Weak,,,126,3.21,0,2.18,1.37,Artifact,Weak,,,155,2.75,0,3.56,0.23,Artifact,Weak,,,184,2.08,0,1,0.24,Impurity,None,,,213,1.02,0,2.44,0.56,Compound,None,,
11,6.55,0.1,1.59,2.75,Compound,None,,,40,4.76,0.2,2.05,5.32,Compound,None,,,69,4.31,0,2.81,1.27,Compound,None,,,98,3.58,0.1,2.2,1.74,Compound,None,,,127,3.16,0,2.2,1.14,Artifact,Weak,,,156,2.68,0.1,1.32,1.91,Solvent,Weak + C13_Sat,,,185,2.07,0,1.15,0.09,Artifact,Weak,,,214,1.01,0,2.08,0.22,Compound,Weak,,
12,6.54,0,2.56,0.41,Compound,None,,,41,4.75,0.2,2.65,7.24,Compound,None,,,70,4.29,0,2.44,0.45,Impurity,None,,,99,3.57,0.1,2.78,3.89,Compound,None,,,128,3.15,0,1.96,1,Artifact,Weak,,,157,2.67,0.3,1.64,6.89,Solvent,Weak + C13_Sat,,,186,1.91,0.1,1.09,1.2,Compound,None,,,215,1,0,1.1,0.21,Impurity,Weak,,
