"Core_assignment","treatment","texture","sat_level","formula","n","presence"
"Soil_100_D","Drying","SCL",75,"C10H14O12N4S1",4,1
"Soil_100_D","Drying","SCL",75,"C10H14O2N12S1",5,1
"Soil_100_D","Drying","SCL",75,"C10H16O11N4S1",5,1
"Soil_100_D","Drying","SCL",75,"C10H16O9N4S1",4,1
"Soil_100_D","Drying","SCL",75,"C10H18O10N4S1",4,1
"Soil_100_D","Drying","SCL",75,"C10H18O9N4S1",4,1
"Soil_100_D","Drying","SCL",75,"C10H19O7N4P1",3,1
"Soil_100_D","Drying","SCL",75,"C10H19O8N6S1P1",4,1
"Soil_100_D","Drying","SCL",75,"C10H21O7N4P1",3,1
"Soil_100_D","Drying","SCL",75,"C10H21O7N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C10H21O8N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C10H23O6N4P1",3,1
"Soil_100_D","Drying","SCL",75,"C10H23O7N4P1",4,1
"Soil_100_D","Drying","SCL",75,"C10H23O7N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C10H23O8N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C10H25O6N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C10H25O8N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C10H7O10N2S2P1",4,1
"Soil_100_D","Drying","SCL",75,"C10H9O11N2S2P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H10O3N12S1",5,1
"Soil_100_D","Drying","SCL",75,"C11H11O11N2S2P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H12O1N12S1",5,1
"Soil_100_D","Drying","SCL",75,"C11H14O12N4S1",3,1
"Soil_100_D","Drying","SCL",75,"C11H14O1N12S1",5,1
"Soil_100_D","Drying","SCL",75,"C11H16O10N4S1",4,1
"Soil_100_D","Drying","SCL",75,"C11H16O12N4S1",4,1
"Soil_100_D","Drying","SCL",75,"C11H16O13N4S1",3,1
"Soil_100_D","Drying","SCL",75,"C11H16O1N12",4,1
"Soil_100_D","Drying","SCL",75,"C11H16O1N12S1",5,1
"Soil_100_D","Drying","SCL",75,"C11H16O2N12",3,1
"Soil_100_D","Drying","SCL",75,"C11H16O3N12",4,1
"Soil_100_D","Drying","SCL",75,"C11H18O11N4S1",5,1
"Soil_100_D","Drying","SCL",75,"C11H18O9N4S1",3,1
"Soil_100_D","Drying","SCL",75,"C11H19O8N6S1P1",3,1
"Soil_100_D","Drying","SCL",75,"C11H22O11N4",3,1
"Soil_100_D","Drying","SCL",75,"C11H23O6N4P1",4,1
"Soil_100_D","Drying","SCL",75,"C11H23O6N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H23O7N4P1",3,1
"Soil_100_D","Drying","SCL",75,"C11H23O7N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H23O8N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H24O5N4S2",3,1
"Soil_100_D","Drying","SCL",75,"C11H24O8N4S1",3,1
"Soil_100_D","Drying","SCL",75,"C11H25O7N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H25O8N6S1P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H26O13N4",4,1
"Soil_100_D","Drying","SCL",75,"C11H27O6N4P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H28O13N4",5,1
"Soil_100_D","Drying","SCL",75,"C11H3O4N8S2P1",5,1
"Soil_100_D","Drying","SCL",75,"C11H9O10N2S2P1",4,1
"Soil_100_D","Drying","SCL",75,"C12H10O7S2",4,1
"Soil_100_D","Drying","SCL",75,"C12H12O1N12S1",5,1
"Soil_100_D","Drying","SCL",75,"C12H14O2N12S1",5,1
"Soil_100_D","Drying","SCL",75,"C12H16O12N4S1",5,1
"Soil_100_D","Drying","SCL",75,"C12H16O13N4S1",4,1
"Soil_100_D","Drying","SCL",75,"C12H16O1N12S1",5,1
