"Mass","C","H","O","N","S","P","El_comp","Class_old","Class","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C","Class_detailed","formula_c","formula_h","formula_o","formula_n","formula_s","formula_p","formula"
201.0741785,5,10,3,6,0,0,"CHON","AminoSugar","condensed aromatic",1.4,2.8,2,0.6,-5,4,-1,"condensed aromatic","C5","H10","O3","N6",NA,NA,"C5H10O3N6"
201.0955457,10,18,2,0,1,0,"CHOS","Lipid","aliphatic",0,-1.2,1.8,0.2,-1,2,-0.1,"aliphatic","C10","H18","O2",NA,"S1",NA,"C10H18O2S1"
201.9521456,9,2,1,1,1,1,"CHONSP","ConHC","condensed aromatic",1.1818,0.5556,0.22,0.11,6,10,0.666666666666667,"condensed aromatic","C9","H2","O1","N1","S1","P1","C9H2O1N1S1P1"
202.9573864,6,5,4,0,1,1,"CHOSP","Tannin","unsaturated/lignin",0.5,0.8333,0.83,0.67,-1,5,-0.166666666666667,"unsaturated/lignin","C6","H5","O4",NA,"S1","P1","C6H5O4S1P1"
204.1102348,6,15,3,5,0,0,"CHON","Other","condensed aromatic",9,1,2.5,0.5,-6,2,-1,"condensed aromatic","C6","H15","O3","N5",NA,NA,"C6H15O3N5"
204.969696,9,3,4,0,0,1,"CHOP","ConHC","condensed aromatic",1,0.5556,0.33,0.44,4,9,0.444444444444444,"condensed aromatic","C9","H3","O4",NA,NA,"P1","C9H3O4P1"
208.0678897,6,16,1,3,1,1,"CHONSP","Other","aliphatic",-9,-0.5,2.67,0.17,-5,1,-0.833333333333333,"lipid","C6","H16","O1","N3","S1","P1","C6H16O1N3S1P1"
208.9797461,12,3,2,0,0,1,"CHOP","ConHC","condensed aromatic",1,0.0833,0.25,0.17,9,12,0.75,"condensed aromatic","C12","H3","O2",NA,NA,"P1","C12H3O2P1"
210.0186152,6,6,2,5,0,1,"CHONP","Lignin","unsaturated/lignin",0,2.1667,1,0.33,-1,7,-0.166666666666667,"unsaturated/lignin","C6","H6","O2","N5",NA,"P1","C6H6O2N5P1"
210.0560079,13,9,2,1,0,0,"CHON","ConHC","condensed aromatic",0.7273,-0.1538,0.69,0.15,7,10,0.538461538461538,"condensed aromatic","C13","H9","O2","N1",NA,NA,"C13H9O2N1"
210.9754629,6,4,1,4,2,0,"CHONS","ConHC","unsaturated/lignin",-1,2.3333,0.67,0.17,0,7,0,"unsaturated/lignin","C6","H4","O1","N4","S2",NA,"C6H4O1N4S2"
211.0611739,10,12,5,0,0,0,"CHO","Lignin","unsaturated/lignin",0.3333,-0.2,1.2,0.5,0,5,0,"unsaturated/lignin","C10","H12","O5",NA,NA,NA,"C10H12O5"
211.1564276,10,20,1,4,0,0,"CHON","Lipid","aliphatic",-0.2727,-0.6,2,0.1,-2,3,-0.2,"lipid","C10","H20","O1","N4",NA,NA,"C10H20O1N4"
211.9689118,6,4,2,3,1,1,"CHONSP","ConHC","condensed aromatic",Inf,1.8333,0.67,0.33,0,7,0,"condensed aromatic","C6","H4","O2","N3","S1","P1","C6H4O2N3S1P1"
212.0514795,6,16,3,1,1,1,"CHONSP","Other","aliphatic",-3,-0.8333,2.67,0.5,-6,0,-1,"lipid","C6","H16","O3","N1","S1","P1","C6H16O3N1S1P1"
212.9595142,7,3,6,0,0,1,"CHOP","ConHC","condensed aromatic",1,1.2857,0.43,0.86,0,7,0,"condensed aromatic","C7","H3","O6",NA,NA,"P1","C7H3O6P1"
