"Mass","formula","HC","OC"
201.952145570807,"C9H2O1N1S1P1",0.22,0.11
211.061173884186,"C10H12O5",1.2,0.5
211.156427638398,"C10H20O1N4",2,0.1
212.051479475735,"C6H16O3N1S1P1",2.67,0.5
212.959514222841,"C7H3O6P1",0.43,0.86
213.091042241476,"C8H15O1N4P1",1.88,0.12
215.111050763356,"C11H20O2S1",1.82,0.18
216.963183020865,"C9H3O1N2S1P1",0.33,0.11
217.036633788004,"C9H6O3N4",0.67,0.33
220.037935098097,"C7H12O5N1P1",1.71,0.71
221.034915060877,"C5H10O4N4S1",2,0.8
223.064673999429,"C8H16O5S1",2,0.62
225.94036913294,"C4H6O4N1S2P1",1.5,1
225.96377578901,"C8H5O3N1S2",0.62,0.38
225.981564803124,"C8H5O5N1S1",0.62,0.62
228.090640835642,"C9H16O2N3P1",1.78,0.22
234.981818955329,"C9H4O4N2S1",0.44,0.44
235.079800700605,"C13H16O2S1",1.23,0.15
235.997321488918,"C7H12O2N1S2P1",1.71,0.29
239.067439032466,"C10H12O5N2",1.2,0.5
240.972874074615,"C9H7O4S1P1",0.78,0.44
241.950473286621,"C8H6O2N1S2P1",0.75,0.25
245.088274762074,"C10H19O1N2S1P1",1.9,0.1
245.117340296902,"C9H19O2N4P1",2.11,0.22
245.139492224135,"C12H22O5",1.83,0.42
246.991810937849,"C8H8O7S1",1,0.88
247.075416900606,"C11H13O1N4P1",1.18,0.09
248.08453049103,"C13H16O2N1P1",1.23,0.15
248.923869172924,"C10H3O2S2P1",0.3,0.2
251.074657232622,"C13H16O3S1",1.23,0.23
253.085601505849,"C10H23O1S2P1",2.3,0.1
255.049939124185,"C5H13O6N4P1",2.6,1.2
255.101960040682,"C8H20O5N2S1",2.5,0.62
257.00672722016,"C17H6O1S1",0.35,0.06
257.110315536827,"C6H18O7N4",3,1.17
258.017173129601,"C9H10O6N1P1",1.11,0.67
258.948762120751,"C7H4O5N2S2",0.57,0.71
259.156383202133,"C14H20O1N4",1.43,0.07
260.015276465742,"C9H12O4N1S1P1",1.33,0.44
261.965898702799,"C9H2O5N3P1",0.22,0.56
262.136535221857,"C15H22O1N1P1",1.47,0.07
263.092385758721,"C14H16O5",1.14,0.36
264.033153095178,"C14H8O1N3P1",0.57,0.07
264.037089346162,"C9H15O4N1S2",1.67,0.44
264.043089894749,"C12H12O4N1P1",1,0.33
264.044933779398,"C11H11O3N3S1",1,0.27
264.045439361592,"C19H7O1N1",0.37,0.05
264.046603010068,"C9H16O4N1S1P1",1.78,0.44
264.04721909426,"C7H11O8N3",1.57,1.14
264.048314010032,"C8H15O3N3S2",1.88,0.38
264.048787507921,"C16H11O1N1S1",0.69,0.06
264.048988094145,"C16H11O1N1S1",0.69,0.06
264.051246628534,"C12H11O6N1",0.92,0.5
264.052102779555,"C13H15O1N1S2",1.15,0.08
264.052668558098,"C13H7O2N5",0.54,0.15
264.05437245327,"C11H12O3N3P1",1.09,0.27
264.054646294429,"C9H15O6N1S1",1.67,0.67
264.057712044165,"C8H16O3N3S1P1",2,0.38
264.062694957722,"C11H11O5N3",1,0.45
264.064334093143,"C9H16O6N1P1",1.78,0.67
264.065155589955,"C10H20O1N1S2P1",2,0.1
264.066050590391,"C8H15O5N3S1",1.88,0.62
264.06674729955,"C16H11O3N1",0.69,0.19
264.070007009574,"C13H15O3N1S1",1.15,0.23
264.087762238448,"C13H15O5N1",1.15,0.38
264.089064113381,"C14H11O1N5",0.79,0.07
264.09408223781,"C9H20O2N3S1P1",2.22,0.22
264.102231236987,"C9H19O4N3S1",2.11,0.44
264.106284230575,"C14H19O2N1S1",1.36,0.14
264.106496194531,"C14H19O2N1S1",1.36,0.14
264.10891363884,"C10H19O7N1",1.9,0.7
264.111803152449,"C9H20O4N3P1",2.22,0.44
264.114358517116,"C16H15O1N3",0.94,0.06
264.115831599424,"C14H20O2N1P1",1.43,0.14
264.119390428152,"C11H24O2N1S1P1",2.18,0.18
264.120034967231,"C9H19O6N3",2.11,0.67
264.120844703886,"C10H23O1N3S2",2.3,0.1
264.121026842213,"C10H23O1N3S2",2.3,0.1
264.124095449377,"C14H19O4N1",1.36,0.29
264.126999220641,"C13H20O1N3P1",1.54,0.08
264.13136266178,"C8H19O5N5",2.38,0.62
264.167646264967,"C9H23O4N5",2.56,0.44
265.03530499495,"C12H10O7",0.83,0.58
265.071768992221,"C13H14O6",1.08,0.46
266.045233631696,"C7H13O6N3S1",1.86,0.86
267.050947486781,"C12H12O7",1,0.58
267.087357339447,"C13H16O6",1.23,0.46
