"Core","Core_assignment","texture","treatment","sat_level","Class","abund","total","relabund"
16,"Soil_sat_W","SCL","Wetting",100,"aliphatic",541,3879,13.95
16,"Soil_sat_W","SCL","Wetting",100,"aromatic",488,3879,12.58
16,"Soil_sat_W","SCL","Wetting",100,"condensed aromatic",240,3879,6.19
16,"Soil_sat_W","SCL","Wetting",100,"unsaturated/lignin",2610,3879,67.29
17,"Soil_sat_W","SCL","Wetting",100,"aliphatic",577,3721,15.51
17,"Soil_sat_W","SCL","Wetting",100,"aromatic",465,3721,12.5
17,"Soil_sat_W","SCL","Wetting",100,"condensed aromatic",205,3721,5.51
17,"Soil_sat_W","SCL","Wetting",100,"unsaturated/lignin",2474,3721,66.49
18,"Soil_sat_W","SCL","Wetting",100,"aliphatic",530,3819,13.88
18,"Soil_sat_W","SCL","Wetting",100,"aromatic",496,3819,12.99
18,"Soil_sat_W","SCL","Wetting",100,"condensed aromatic",241,3819,6.31
18,"Soil_sat_W","SCL","Wetting",100,"unsaturated/lignin",2552,3819,66.82
19,"Soil_sat_W","SCL","Wetting",100,"aliphatic",513,3834,13.38
19,"Soil_sat_W","SCL","Wetting",100,"aromatic",510,3834,13.3
19,"Soil_sat_W","SCL","Wetting",100,"condensed aromatic",229,3834,5.97
19,"Soil_sat_W","SCL","Wetting",100,"unsaturated/lignin",2582,3834,67.34
20,"Soil_sat_W","SCL","Wetting",100,"aliphatic",519,3878,13.38
20,"Soil_sat_W","SCL","Wetting",100,"aromatic",506,3878,13.05
20,"Soil_sat_W","SCL","Wetting",100,"condensed aromatic",195,3878,5.03
20,"Soil_sat_W","SCL","Wetting",100,"unsaturated/lignin",2658,3878,68.54
21,"Soil_sat_D","SCL","Drying",100,"aliphatic",699,4046,17.28
21,"Soil_sat_D","SCL","Drying",100,"aromatic",504,4046,12.46
21,"Soil_sat_D","SCL","Drying",100,"condensed aromatic",175,4046,4.33
21,"Soil_sat_D","SCL","Drying",100,"unsaturated/lignin",2668,4046,65.94
22,"Soil_sat_D","SCL","Drying",100,"aliphatic",778,4142,18.78
22,"Soil_sat_D","SCL","Drying",100,"aromatic",509,4142,12.29
22,"Soil_sat_D","SCL","Drying",100,"condensed aromatic",175,4142,4.23
22,"Soil_sat_D","SCL","Drying",100,"unsaturated/lignin",2680,4142,64.7
23,"Soil_sat_D","SCL","Drying",100,"aliphatic",770,4101,18.78
23,"Soil_sat_D","SCL","Drying",100,"aromatic",497,4101,12.12
23,"Soil_sat_D","SCL","Drying",100,"condensed aromatic",166,4101,4.05
