"Core_assignment","texture","treatment","sat_level","Class","rel_abund"
"Soil_100_D","SCL","Drying",75,"aliphatic",21.48
"Soil_100_D","SCL","Drying",75,"aromatic",11.54
"Soil_100_D","SCL","Drying",75,"condensed aromatic",6.75
"Soil_100_D","SCL","Drying",75,"unsaturated/lignin",60.23
"Soil_100_W","SCL","Wetting",75,"aliphatic",15.83
"Soil_100_W","SCL","Wetting",75,"aromatic",11.6
"Soil_100_W","SCL","Wetting",75,"condensed aromatic",6.71
"Soil_100_W","SCL","Wetting",75,"unsaturated/lignin",65.86
"Soil_50_D","SCL","Drying",35,"aliphatic",18.37
"Soil_50_D","SCL","Drying",35,"aromatic",13.32
"Soil_50_D","SCL","Drying",35,"condensed aromatic",7.39
"Soil_50_D","SCL","Drying",35,"unsaturated/lignin",60.91
"Soil_50_W","SCL","Wetting",35,"aliphatic",13.63
"Soil_50_W","SCL","Wetting",35,"aromatic",14.58
"Soil_50_W","SCL","Wetting",35,"condensed aromatic",7.79
"Soil_50_W","SCL","Wetting",35,"unsaturated/lignin",64
"Soil_75_D","SCL","Drying",50,"aliphatic",20.27
"Soil_75_D","SCL","Drying",50,"aromatic",12.2
"Soil_75_D","SCL","Drying",50,"condensed aromatic",6.22
"Soil_75_D","SCL","Drying",50,"unsaturated/lignin",61.32
"Soil_75_W","SCL","Wetting",50,"aliphatic",17.18
"Soil_75_W","SCL","Wetting",50,"aromatic",12.9
"Soil_75_W","SCL","Wetting",50,"condensed aromatic",6.94
"Soil_75_W","SCL","Wetting",50,"unsaturated/lignin",62.98
"Soil_dry_D","SCL","Drying",5,"aliphatic",17.05
"Soil_dry_D","SCL","Drying",5,"aromatic",11.03
"Soil_dry_D","SCL","Drying",5,"condensed aromatic",7.01
"Soil_dry_D","SCL","Drying",5,"unsaturated/lignin",64.91
"Soil_dry_W","SCL","Wetting",5,"aliphatic",18.81
"Soil_dry_W","SCL","Wetting",5,"aromatic",11.63
"Soil_dry_W","SCL","Wetting",5,"condensed aromatic",6.42
"Soil_dry_W","SCL","Wetting",5,"unsaturated/lignin",63.13
"Soil_fm","SCL","FM",NA,"aliphatic",20.93
"Soil_fm","SCL","FM",NA,"aromatic",12.43
"Soil_fm","SCL","FM",NA,"condensed aromatic",6.7
"Soil_fm","SCL","FM",NA,"unsaturated/lignin",59.94
"Soil_sat_D","SCL","Drying",100,"aliphatic",23.86
"Soil_sat_D","SCL","Drying",100,"aromatic",11.13
"Soil_sat_D","SCL","Drying",100,"condensed aromatic",4.39
"Soil_sat_D","SCL","Drying",100,"unsaturated/lignin",60.62
"Soil_sat_W","SCL","Wetting",100,"aliphatic",15.93
"Soil_sat_W","SCL","Wetting",100,"aromatic",12.58
"Soil_sat_W","SCL","Wetting",100,"condensed aromatic",7.06
"Soil_sat_W","SCL","Wetting",100,"unsaturated/lignin",64.43
