Core,ppm,Intensity,Width,Area,Flags
100,8.14,0.1,2.41,4.29,None
100,7.22,0.1,28.47,35.4,None
100,7.1,0.1,25.28,24.22,None
100,6.98,0.1,27.07,30.97,None
100,6.57,0.5,1.55,8.67,None
100,6.55,0.5,1.53,8.96,None
100,6.52,0.1,1.6,1.43,None
111,7.08,1.5,20.83,406.56,None
111,4.36,0.1,1.91,2.21,None
111,4.34,0.2,1.98,4.84,None
111,4.33,0.1,1.74,2.92,None
112,7.08,1.2,22.13,359.67,None
112,4.36,0.1,1.96,1.77,None
112,4.34,0.2,2.05,4.05,None
112,4.33,0.1,1.87,2.55,None
113,7.1,0.5,51.41,337.7,None
113,6.52,0.5,1.33,7.89,None
113,4.36,0.1,1.71,1.64,None
113,4.35,0.2,1.76,3.72,None
113,4.34,0.1,1.63,2.39,None
114,7.09,1.2,25.28,380.37,None
114,4.36,0.1,2.18,1.64,None
114,4.34,0.2,2.56,5.25,None
114,4.33,0.1,2.53,4.4,None
115,7.11,0.3,67.76,257.54,None
115,7.08,0.2,44.68,82.63,None
115,6.52,0.1,1.31,1.78,None
115,4.36,0.1,1.88,1.89,None
115,4.35,0.2,1.88,4.4,None
115,4.34,0.1,1.59,2.52,None
116,7.22,0.1,10,15.4,None
116,7.09,0.1,10.53,15.59,None
116,6.96,0.1,9.63,13.33,None
116,6.53,0.1,1.33,0.99,None
116,6.52,0.5,1.36,8.9,None
117,6.53,0.1,1.4,1.8,None
117,6.52,0.6,1.34,9.8,None
117,3.51,0.5,2.71,16.54,None
118,7.22,0.2,9.56,29.23,None
118,7.1,0.2,9.98,32.23,None
118,6.97,0.2,9.6,27.95,None
118,6.52,0.1,1.26,1.35,None
118,3.5,0.5,2.45,16.79,None
120,7.22,0.2,9.59,20.78,None
120,7.09,0.2,9.17,20.55,None
120,6.96,0.2,7.92,16.23,None
120,6.52,0.5,1.32,8.13,None
121,7.21,0.1,23.85,31.09,None
121,7.09,0.2,33.15,75.01,None
121,6.97,0.1,35.06,54.64,None
122,7.2,0.1,29.25,24.66,None
122,7.09,0.1,49.99,94.19,None
123,7.21,0.1,19.99,28.3,None
123,7.1,0.1,46.92,31.05,None
123,7.09,0.1,18.53,24.22,None
123,6.97,0.1,21.86,37.56,None
123,6.52,0.2,1.56,3.46,None
124,7.22,0.2,23.41,44.57,None
124,7.1,0.1,57.46,95.37,None
124,7.1,0.1,16.47,16.07,None
124,6.98,0.2,23.01,45.08,None
