"group","treatment","sat_level","texture","soil_type","rel_abund","se","relative_abundance"
"aliphatic1","Drying",5,"SCL","Soil",42.28,4.92,"42.28 ± 4.92"
"aliphatic1","Drying",5,"SL","Soil_sand",51.08,6.11,"51.08 ± 6.11"
"aliphatic1","Drying",35,"SCL","Soil",66.53,7.69,"66.53 ± 7.69"
"aliphatic1","Drying",35,"SL","Soil_sand",72.14,6.35,"72.14 ± 6.35"
"aliphatic1","Drying",50,"SCL","Soil",72.66,3.47,"72.66 ± 3.47"
"aliphatic1","Drying",50,"SL","Soil_sand",77.29,3.73,"77.29 ± 3.73"
"aliphatic1","Drying",75,"SCL","Soil",57.27,4.09,"57.27 ± 4.09"
"aliphatic1","Drying",75,"SL","Soil_sand",76.63,6.03,"76.63 ± 6.03"
"aliphatic1","Drying",100,"SCL","Soil",61.67,5.44,"61.67 ± 5.44"
"aliphatic1","Drying",100,"SL","Soil_sand",78.65,7.29,"78.65 ± 7.29"
"aliphatic1","FM",NA,"SCL","Soil",49.71,6.31,"49.71 ± 6.31"
"aliphatic1","FM",NA,"SL","Soil_sand",67.92,2.97,"67.92 ± 2.97"
"aliphatic1","Wetting",5,"SCL","Soil",32.25,6.61,"32.25 ± 6.61"
"aliphatic1","Wetting",5,"SL","Soil_sand",41.98,6.99,"41.98 ± 6.99"
"aliphatic1","Wetting",35,"SCL","Soil",34.36,6.34,"34.36 ± 6.34"
"aliphatic1","Wetting",35,"SL","Soil_sand",38.95,7.52,"38.95 ± 7.52"
"aliphatic1","Wetting",50,"SCL","Soil",52.31,10.09,"52.31 ± 10.09"
"aliphatic1","Wetting",50,"SL","Soil_sand",32.55,6.97,"32.55 ± 6.97"
"aliphatic1","Wetting",75,"SCL","Soil",41.03,9.98,"41.03 ± 9.98"
"aliphatic1","Wetting",75,"SL","Soil_sand",26.08,3.36,"26.08 ± 3.36"
"aliphatic1","Wetting",100,"SCL","Soil",50.42,3.36,"50.42 ± 3.36"
"aliphatic1","Wetting",100,"SL","Soil_sand",47.52,3.32,"47.52 ± 3.32"
"aliphatic2","Drying",5,"SCL","Soil",3.03,0.81,"3.03 ± 0.81"
"aliphatic2","Drying",5,"SL","Soil_sand",4.06,0.82,"4.06 ± 0.82"
"aliphatic2","Drying",35,"SCL","Soil",5.04,1.51,"5.04 ± 1.51"
"aliphatic2","Drying",35,"SL","Soil_sand",1.55,0.31,"1.55 ± 0.31"
"aliphatic2","Drying",50,"SCL","Soil",10.48,1.96,"10.48 ± 1.96"
"aliphatic2","Drying",50,"SL","Soil_sand",6.11,1.81,"6.11 ± 1.81"
"aliphatic2","Drying",75,"SCL","Soil",7.79,5.93,"7.79 ± 5.93"
"aliphatic2","Drying",75,"SL","Soil_sand",3.47,0.96,"3.47 ± 0.96"
"aliphatic2","Drying",100,"SCL","Soil",10.33,1.03,"10.33 ± 1.03"
"aliphatic2","Drying",100,"SL","Soil_sand",3.74,1.38,"3.74 ± 1.38"
"aliphatic2","FM",NA,"SCL","Soil",2.55,1.21,"2.55 ± 1.21"
"aliphatic2","FM",NA,"SL","Soil_sand",5.41,1.1,"5.41 ± 1.1"
"aliphatic2","Wetting",5,"SCL","Soil",1.74,0.75,"1.74 ± 0.75"
"aliphatic2","Wetting",5,"SL","Soil_sand",2.86,1.2,"2.86 ± 1.2"
"aliphatic2","Wetting",35,"SCL","Soil",1.82,1.04,"1.82 ± 1.04"
"aliphatic2","Wetting",35,"SL","Soil_sand",2.12,0.49,"2.12 ± 0.49"
"aliphatic2","Wetting",50,"SCL","Soil",4.41,0.9,"4.41 ± 0.9"
"aliphatic2","Wetting",50,"SL","Soil_sand",3.11,0.58,"3.11 ± 0.58"
"aliphatic2","Wetting",75,"SCL","Soil",7.83,7.38,"7.83 ± 7.38"
"aliphatic2","Wetting",75,"SL","Soil_sand",1.93,0.37,"1.93 ± 0.37"
"aliphatic2","Wetting",100,"SCL","Soil",1.9,1.37,"1.9 ± 1.37"
"aliphatic2","Wetting",100,"SL","Soil_sand",3.44,1.78,"3.44 ± 1.78"
"alphah","Drying",5,"SCL","Soil",35.42,4.85,"35.42 ± 4.85"
"alphah","Drying",5,"SL","Soil_sand",24.11,1.98,"24.11 ± 1.98"
"alphah","Drying",75,"SCL","Soil",3.73,0.48,"3.73 ± 0.48"
"alphah","Drying",100,"SCL","Soil",0.71,NA,"0.71 ± NA"
"alphah","FM",NA,"SCL","Soil",0.64,NA,"0.64 ± NA"
"alphah","FM",NA,"SL","Soil_sand",1.36,NA,"1.36 ± NA"
"alphah","Wetting",5,"SCL","Soil",36.51,4.23,"36.51 ± 4.23"
"alphah","Wetting",5,"SL","Soil_sand",31.23,4.93,"31.23 ± 4.93"
"alphah","Wetting",35,"SCL","Soil",1.56,0.15,"1.56 ± 0.15"
"alphah","Wetting",50,"SCL","Soil",2.11,1,"2.11 ± 1"
"alphah","Wetting",75,"SCL","Soil",3.06,0.52,"3.06 ± 0.52"
"alphah","Wetting",100,"SCL","Soil",3.43,0.57,"3.43 ± 0.57"
"alphah","Wetting",100,"SL","Soil_sand",3.1,1.27,"3.1 ± 1.27"
"amide","Drying",5,"SCL","Soil",0.9,0.2,"0.9 ± 0.2"
"amide","Drying",5,"SL","Soil_sand",0.81,0.07,"0.81 ± 0.07"
"amide","Drying",75,"SCL","Soil",0.41,NA,"0.41 ± NA"
"amide","Wetting",5,"SCL","Soil",0.86,0.05,"0.86 ± 0.05"
"amide","Wetting",5,"SL","Soil_sand",1.06,NA,"1.06 ± NA"
"amide","Wetting",50,"SCL","Soil",0.92,0.13,"0.92 ± 0.13"
"amide","Wetting",100,"SCL","Soil",0.66,NA,"0.66 ± NA"
"amide","Wetting",100,"SL","Soil_sand",0.74,0.2,"0.74 ± 0.2"
"aromatic","Drying",5,"SCL","Soil",18.82,4.89,"18.82 ± 4.89"
"aromatic","Drying",5,"SL","Soil_sand",19.95,5.62,"19.95 ± 5.62"
"aromatic","Drying",35,"SCL","Soil",28.43,8.03,"28.43 ± 8.03"
"aromatic","Drying",35,"SL","Soil_sand",26.32,6.45,"26.32 ± 6.45"
"aromatic","Drying",50,"SCL","Soil",16.86,3.38,"16.86 ± 3.38"
