"Core","group","treatment","sat_level","perc_sat","texture","soil_type","area","total","relabund"
"100","aliphatic1","Drying",5,5,"SL","Soil_sand",272.38,566.79,48.06
"100","aliphatic2","Drying",5,5,"SL","Soil_sand",33.71,566.79,5.95
"100","alphah","Drying",5,5,"SL","Soil_sand",141.35,566.79,24.94
"100","amide","Drying",5,5,"SL","Soil_sand",4.29,566.79,0.76
"100","aromatic","Drying",5,5,"SL","Soil_sand",115.06,566.79,20.3
"111","aliphatic1","Wetting",35,35,"SCL","Soil",86.39,504.83,17.11
"111","aliphatic2","Wetting",35,35,"SCL","Soil",1.91,504.83,0.38
"111","alphah","Wetting",35,35,"SCL","Soil",9.97,504.83,1.97
"111","aromatic","Wetting",35,35,"SCL","Soil",406.56,504.83,80.53
"112","aliphatic1","Wetting",35,35,"SCL","Soil",377.48,746.79,50.55
"112","aliphatic2","Wetting",35,35,"SCL","Soil",1.27,746.79,0.17
"112","alphah","Wetting",35,35,"SCL","Soil",8.37,746.79,1.12
"112","aromatic","Wetting",35,35,"SCL","Soil",359.67,746.79,48.16
"113","aliphatic1","Wetting",35,35,"SCL","Soil",102.38,465.47,21.99
"113","aliphatic2","Wetting",35,35,"SCL","Soil",9.75,465.47,2.09
"113","alphah","Wetting",35,35,"SCL","Soil",7.75,465.47,1.66
"113","aromatic","Wetting",35,35,"SCL","Soil",345.59,465.47,74.25
"114","aliphatic1","Wetting",35,35,"SCL","Soil",276.65,668.31,41.4
"114","alphah","Wetting",35,35,"SCL","Soil",11.29,668.31,1.69
"114","aromatic","Wetting",35,35,"SCL","Soil",380.37,668.31,56.92
"115","aliphatic1","Wetting",35,35,"SCL","Soil",262.02,642.7,40.77
"115","aliphatic2","Wetting",35,35,"SCL","Soil",29.92,642.7,4.66
"115","alphah","Wetting",35,35,"SCL","Soil",8.81,642.7,1.37
"115","aromatic","Wetting",35,35,"SCL","Soil",341.95,642.7,53.21
"116","aliphatic1","Drying",35,35,"SCL","Soil",200.51,273.17,73.4
"116","aliphatic2","Drying",35,35,"SCL","Soil",18.45,273.17,6.75
"116","aromatic","Drying",35,35,"SCL","Soil",54.21,273.17,19.84
"117","aliphatic1","Drying",35,35,"SCL","Soil",49.06,61.79,79.4
"117","aliphatic2","Drying",35,35,"SCL","Soil",1.13,61.79,1.83
"117","aromatic","Drying",35,35,"SCL","Soil",11.6,61.79,18.77
"118","aliphatic1","Drying",35,35,"SCL","Soil",76.91,173.28,44.38
"118","aliphatic2","Drying",35,35,"SCL","Soil",5.61,173.28,3.24
"118","aromatic","Drying",35,35,"SCL","Soil",90.76,173.28,52.38
"120","aliphatic1","Drying",35,35,"SCL","Soil",199.34,289.15,68.94
"120","aliphatic2","Drying",35,35,"SCL","Soil",24.12,289.15,8.34
"120","aromatic","Drying",35,35,"SCL","Soil",65.69,289.15,22.72
"121","aliphatic1","Wetting",50,50,"SL","Soil_sand",161.05,327.92,49.11
"121","aliphatic2","Wetting",50,50,"SL","Soil_sand",6.13,327.92,1.87
"121","aromatic","Wetting",50,50,"SL","Soil_sand",160.74,327.92,49.02
"122","aliphatic1","Wetting",50,50,"SL","Soil_sand",31.25,153.11,20.41
"122","aliphatic2","Wetting",50,50,"SL","Soil_sand",3.01,153.11,1.97
"122","aromatic","Wetting",50,50,"SL","Soil_sand",118.85,153.11,77.62
"123","aliphatic1","Wetting",50,50,"SL","Soil_sand",138.13,275.59,50.12
"123","aliphatic2","Wetting",50,50,"SL","Soil_sand",12.87,275.59,4.67
"123","aromatic","Wetting",50,50,"SL","Soil_sand",124.59,275.59,45.21
"124","aliphatic1","Wetting",50,50,"SL","Soil_sand",61.22,273.96,22.35
"124","aliphatic2","Wetting",50,50,"SL","Soil_sand",11.65,273.96,4.25
"124","aromatic","Wetting",50,50,"SL","Soil_sand",201.09,273.96,73.4
"125","aliphatic1","Wetting",50,50,"SL","Soil_sand",56.05,269.69,20.78
"125","aliphatic2","Wetting",50,50,"SL","Soil_sand",7.57,269.69,2.81
"125","aromatic","Wetting",50,50,"SL","Soil_sand",206.07,269.69,76.41
"126","aliphatic1","Drying",50,50,"SL","Soil_sand",250.78,311.89,80.41
"126","aliphatic2","Drying",50,50,"SL","Soil_sand",22.41,311.89,7.19
"126","aromatic","Drying",50,50,"SL","Soil_sand",38.7,311.89,12.41
"127","aliphatic1","Drying",50,50,"SL","Soil_sand",213.76,247.88,86.24
"127","aliphatic2","Drying",50,50,"SL","Soil_sand",2.7,247.88,1.09
"127","aromatic","Drying",50,50,"SL","Soil_sand",31.42,247.88,12.68
"128","aliphatic1","Drying",50,50,"SL","Soil_sand",216.5,282.67,76.59
"128","aliphatic2","Drying",50,50,"SL","Soil_sand",30.05,282.67,10.63
"128","aromatic","Drying",50,50,"SL","Soil_sand",36.12,282.67,12.78
"129","aliphatic1","Drying",50,50,"SL","Soil_sand",63.96,100.33,63.75
"129","aliphatic2","Drying",50,50,"SL","Soil_sand",2.77,100.33,2.76
"129","aromatic","Drying",50,50,"SL","Soil_sand",33.6,100.33,33.49
"130","aliphatic1","Drying",50,50,"SL","Soil_sand",225.49,283.8,79.45
"130","aliphatic2","Drying",50,50,"SL","Soil_sand",25.17,283.8,8.87
"130","aromatic","Drying",50,50,"SL","Soil_sand",33.14,283.8,11.68
