"pF","vol_water_perc","source","treatment","texture","kPa","perc_sat"
0.006,85.83,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.1,99.17
0.026,85.79,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.11,99.12
0.046,85.74,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.11,99.06
0.066,85.69,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.12,99.01
0.086,85.64,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.12,98.95
0.106,85.58,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.13,98.88
0.126,85.52,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.13,98.81
0.146,85.46,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.14,98.74
0.166,85.39,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.15,98.66
0.186,85.32,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.15,98.58
0.206,85.24,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.16,98.49
0.226,85.16,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.17,98.39
0.246,85.07,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.18,98.29
0.267,84.98,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.18,98.19
0.287,84.88,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.19,98.07
0.307,84.78,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.2,97.95
0.327,84.68,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.21,97.84
0.347,84.56,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.22,97.7
0.367,84.44,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.23,97.56
0.387,84.31,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.24,97.41
0.407,84.18,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.26,97.26
0.427,84.04,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.27,97.1
0.447,83.89,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.28,96.93
0.467,83.73,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.29,96.74
0.487,83.56,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.31,96.55
0.507,83.39,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.32,96.35
0.527,83.2,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.34,96.13
0.547,83.01,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.35,95.91
0.567,82.8,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.37,95.67
0.587,82.59,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.39,95.42
0.607,82.36,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.4,95.16
0.627,82.12,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.42,94.88
0.647,81.88,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.44,94.6
0.667,81.61,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.46,94.29
0.687,81.34,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.49,93.98
0.707,81.05,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.51,93.65
0.727,80.76,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.53,93.31
0.747,80.44,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.56,92.94
0.768,80.12,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.59,92.57
0.788,79.78,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.61,92.18
0.808,79.42,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.64,91.76
0.828,79.05,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.67,91.33
0.848,78.67,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.7,90.9
0.868,78.27,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.74,90.43
0.888,77.85,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.77,89.95
0.908,77.43,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.81,89.46
0.928,76.98,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.85,88.94
0.948,76.52,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.89,88.41
0.968,76.05,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.93,87.87
0.988,75.56,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",0.97,87.3
1.008,75.05,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.02,86.71
1.028,74.53,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.07,86.11
1.048,73.99,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.12,85.49
1.068,73.45,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.17,84.86
1.088,72.88,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.22,84.21
1.108,72.3,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.28,83.54
1.128,71.71,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.34,82.85
1.148,71.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.41,82.16
1.168,70.49,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.47,81.44
1.188,69.86,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.54,80.72
1.208,69.22,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.61,79.98
1.228,68.57,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.69,79.23
1.248,67.91,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.77,78.46
1.269,67.24,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.86,77.69
1.289,66.56,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",1.95,76.9
1.309,65.87,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.04,76.11
1.329,65.17,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.13,75.3
1.349,64.47,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.23,74.49
1.369,63.76,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.34,73.67
1.389,63.04,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.45,72.84
1.409,62.32,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.56,72
1.429,61.6,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.69,71.17
1.449,60.87,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.81,70.33
1.469,60.14,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",2.94,69.49
1.489,59.4,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3.08,68.63
1.509,58.67,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3.23,67.79
1.529,57.93,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3.38,66.93
1.549,57.19,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3.54,66.08
1.569,56.46,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3.71,65.23
1.589,55.72,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",3.88,64.38
1.609,54.99,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4.06,63.54
1.629,54.25,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4.26,62.68
1.649,53.52,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4.46,61.84
1.669,52.79,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4.67,60.99
1.689,52.07,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",4.89,60.16
1.709,51.35,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5.12,59.33
1.729,50.63,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5.36,58.5
1.749,49.92,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5.61,57.68
1.77,49.21,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",5.89,56.86
1.79,48.51,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",6.17,56.05
1.81,47.81,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",6.46,55.24
1.83,47.12,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",6.76,54.44
1.85,46.44,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",7.08,53.66
1.87,45.76,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",7.41,52.87
1.89,45.08,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",7.76,52.09
1.91,44.42,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",8.13,51.32
1.93,43.76,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",8.51,50.56
1.95,43.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",8.91,49.81
1.97,42.46,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",9.33,49.06
1.99,41.82,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",9.77,48.32
2.01,41.19,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",10.23,47.59
2.03,40.57,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",10.72,46.87
2.05,39.95,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",11.22,46.16
2.07,39.34,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",11.75,45.45
2.09,38.74,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",12.3,44.76
2.11,38.14,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",12.88,44.07
2.13,37.56,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",13.49,43.4
2.15,36.98,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",14.13,42.73
2.17,36.41,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",14.79,42.07
2.19,35.84,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",15.49,41.41
2.21,35.29,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",16.22,40.77
2.23,34.74,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",16.98,40.14
2.251,34.2,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",17.82,39.51
2.271,33.67,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",18.66,38.9
2.291,33.14,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",19.54,38.29
2.311,32.62,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",20.46,37.69
2.331,32.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",21.43,37.1
2.351,31.61,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",22.44,36.52
2.371,31.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",23.5,35.94
2.391,30.62,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",24.6,35.38
2.411,30.14,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",25.76,34.82
2.431,29.66,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",26.98,34.27
2.451,29.19,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",28.25,33.73
2.471,28.73,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",29.58,33.19
2.491,28.28,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",30.97,32.67
2.511,27.83,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",32.43,32.15
2.531,27.39,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",33.96,31.65
2.551,26.96,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",35.56,31.15
2.571,26.53,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",37.24,30.65
2.591,26.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",38.99,30.17
2.611,25.69,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",40.83,29.68
2.631,25.29,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",42.76,29.22
2.651,24.88,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",44.77,28.75
2.671,24.49,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",46.88,28.3
2.691,24.1,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",49.09,27.85
2.711,23.72,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",51.4,27.41
2.731,23.34,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",53.83,26.97
2.752,22.97,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",56.49,26.54
2.772,22.6,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",59.16,26.11
2.792,22.24,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",61.94,25.7
2.812,21.88,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",64.86,25.28
2.832,21.54,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",67.92,24.89
2.852,21.19,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",71.12,24.48
2.872,20.85,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",74.47,24.09
2.892,20.52,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",77.98,23.71
2.912,20.19,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",81.66,23.33
2.932,19.87,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",85.51,22.96
2.952,19.55,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",89.54,22.59
2.972,19.24,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",93.76,22.23
2.992,18.93,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",98.17,21.87
3.012,18.63,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",102.8,21.53
3.032,18.33,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",107.65,21.18
3.052,18.04,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",112.72,20.84
3.072,17.75,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",118.03,20.51
3.092,17.47,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",123.59,20.18
3.112,17.19,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",129.42,19.86
3.132,16.91,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",135.52,19.54
3.152,16.64,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",141.91,19.23
3.172,16.38,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",148.59,18.93
3.192,16.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",155.6,18.61
3.212,15.86,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",162.93,18.32
3.232,15.6,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",170.61,18.02
3.253,15.35,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",179.06,17.74
3.273,15.11,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",187.5,17.46
3.293,14.86,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",196.34,17.17
3.313,14.63,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",205.59,16.9
3.333,14.39,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",215.28,16.63
3.353,14.16,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",225.42,16.36
3.373,13.94,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",236.05,16.11
3.393,13.71,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",247.17,15.84
3.413,13.49,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",258.82,15.59
3.433,13.28,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",271.02,15.34
3.453,13.06,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",283.79,15.09
3.473,12.85,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",297.17,14.85
3.493,12.65,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",311.17,14.62
3.513,12.45,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",325.84,14.38
3.533,12.25,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",341.19,14.15
3.553,12.05,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",357.27,13.92
3.573,11.86,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",374.11,13.7
3.593,11.67,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",391.74,13.48
3.613,11.48,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",410.2,13.26
3.633,11.3,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",429.54,13.06
3.653,11.12,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",449.78,12.85
3.673,10.94,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",470.98,12.64
3.693,10.76,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",493.17,12.43
3.713,10.59,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",516.42,12.24
3.733,10.42,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",540.75,12.04
3.754,10.25,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",567.54,11.84
3.774,10.09,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",594.29,11.66
3.794,9.93,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",622.3,11.47
3.814,9.77,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",651.63,11.29
3.834,9.61,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",682.34,11.1
3.854,9.46,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",714.5,10.93
3.874,9.31,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",748.17,10.76
3.894,9.16,"data/wrc/vg_wp4c/200729_BC15_scl-drying.xlsx","drying","SCL",783.43,10.58
