"Core","soil_type","texture","treatment","moisture_lvl","perc_sat","npoc_mg_l","wsoc_mg_g"
"16","Soil","SCL","Wetting","140",100,17.86,0.201
"17","Soil","SCL","Wetting","140",100,19.26,0.219
"18","Soil","SCL","Wetting","140",100,18.55,0.208
"19","Soil","SCL","Wetting","140",100,20.45,0.23
"20","Soil","SCL","Wetting","140",100,20.65,0.233
"21","Soil","SCL","Drying","140",100,6.76,0.076
"22","Soil","SCL","Drying","140",100,8.12,0.091
"23","Soil","SCL","Drying","140",100,5.73,0.063
"24","Soil","SCL","Drying","140",100,9.44,0.105
"25","Soil","SCL","Drying","140",100,6.96,0.077
"26","Soil","SCL","Wetting","75",53,18.23,0.197
"27","Soil","SCL","Wetting","75",53,11.85,0.126
"28","Soil","SCL","Wetting","75",53,19.21,0.198
"29","Soil","SCL","Wetting","75",53,21.56,0.227
"30","Soil","SCL","Wetting","75",53,19.37,0.205
"31","Soil","SCL","Drying","75",53,6.39,0.068
"32","Soil","SCL","Drying","75",53,6.81,0.072
"33","Soil","SCL","Drying","75",53,7.76,0.083
"34","Soil","SCL","Drying","75",53,4.78,0.051
"35","Soil","SCL","Drying","75",53,6.19,0.066
"36","Soil","SCL","Wetting","5",3,39.51,0.406
"37","Soil","SCL","Wetting","5",3,41.73,0.425
"38","Soil","SCL","Wetting","5",3,40.14,0.401
"39","Soil","SCL","Wetting","5",3,44.71,0.444
"40","Soil","SCL","Wetting","5",3,42.68,0.432
"41","Soil","SCL","Drying","5",3,28.89,0.29
"42","Soil","SCL","Drying","5",3,35.97,0.374
"43","Soil","SCL","Drying","5",3,31.48,0.318
"44","Soil","SCL","Drying","5",3,29.29,0.296
"45","Soil","SCL","Drying","5",3,28.96,0.294
"71","Soil_sand","SL","Wetting","100",100,18.41,0.202
"72","Soil_sand","SL","Wetting","100",100,20.55,0.227
"73","Soil_sand","SL","Wetting","100",100,21.69,0.234
"74","Soil_sand","SL","Wetting","100",100,15.66,0.168
"75","Soil_sand","SL","Wetting","100",100,20.42,0.223
"76","Soil_sand","SL","Drying","100",100,6.07,0.066
"77","Soil_sand","SL","Drying","100",100,7.22,0.078
"78","Soil_sand","SL","Drying","100",100,6.57,0.071
"79","Soil_sand","SL","Drying","100",100,5.89,0.064
"80","Soil_sand","SL","Drying","100",100,9.28,0.099
"81","Soil_sand","SL","Wetting","75",75,16.51,0.173
"82","Soil_sand","SL","Wetting","75",75,15,0.16
"83","Soil_sand","SL","Wetting","75",75,16.58,0.179
"84","Soil_sand","SL","Wetting","75",75,15.14,0.16
"85","Soil_sand","SL","Wetting","75",75,15.54,0.165
"86","Soil_sand","SL","Drying","75",75,7.15,0.077
"87","Soil_sand","SL","Drying","75",75,5.89,0.063
"88","Soil_sand","SL","Drying","75",75,5.8,0.062
"89","Soil_sand","SL","Drying","75",75,5.05,0.058
"90","Soil_sand","SL","Drying","75",75,5.85,0.063
"91","Soil_sand","SL","Wetting","5",5,36.76,0.362
"92","Soil_sand","SL","Wetting","5",5,39.47,0.394
"93","Soil_sand","SL","Wetting","5",5,43.03,0.428
"94","Soil_sand","SL","Wetting","5",5,31.34,0.312
"95","Soil_sand","SL","Wetting","5",5,39.35,0.392
"96","Soil_sand","SL","Drying","5",5,30.22,0.303
"97","Soil_sand","SL","Drying","5",5,31.69,0.317
"98","Soil_sand","SL","Drying","5",5,26.66,0.272
"99","Soil_sand","SL","Drying","5",5,24.33,0.244
"100","Soil_sand","SL","Drying","5",5,29.59,0.294
"111","Soil","SCL","Wetting","50",35,18.23,0.144
"112","Soil","SCL","Wetting","50",35,14.28,0.149
"113","Soil","SCL","Wetting","50",35,15.82,0.163
"114","Soil","SCL","Wetting","50",35,14.59,0.153
"115","Soil","SCL","Wetting","50",35,15.36,0.161
"116","Soil","SCL","Drying","50",35,8.09,0.084
"117","Soil","SCL","Drying","50",35,5.57,0.058
"118","Soil","SCL","Drying","50",35,6.19,0.064
"119","Soil","SCL","Drying","50",35,8.93,0.093
"120","Soil","SCL","Drying","50",35,6.81,0.071
"121","Soil_sand","SL","Wetting","50",50,11.93,0.124
"122","Soil_sand","SL","Wetting","50",50,14,0.147
