"texture","sat_level","treatment","se","wsoc","wsoc_mg_g","p","asterisk"
"SCL",5,"Drying",0.0136638208419168,0.274,"0.274 ± 0.014 *",3e-04,"*"
"SCL",5,"Wetting",0.00690362223763729,0.3666,"0.367 ± 0.007 ",NA,NA
"SCL",35,"Drying",0.0055281099844341,0.0674,"0.067 ± 0.006 *",0,"*"
"SCL",35,"Wetting",0.00313687742827162,0.1362,"0.136 ± 0.003 ",NA,NA
"SCL",50,"Drying",0.00453210767744986,0.0622,"0.062 ± 0.005 *",1e-04,"*"
"SCL",50,"Wetting",0.0147952695142738,0.168,"0.168 ± 0.015 ",NA,NA
"SCL",75,"Drying",0.0101616927723682,0.1316,"0.132 ± 0.01 *",0.011,"*"
"SCL",75,"Wetting",0.00386781592116274,0.1674,"0.167 ± 0.004 ",NA,NA
"SCL",100,"Drying",0.00627694193059009,0.075,"0.075 ± 0.006 *",0,"*"
"SCL",100,"Wetting",0.00536097006147208,0.1918,"0.192 ± 0.005 ",NA,NA
"SL",5,"Drying",0.0108646214844329,0.2498,"0.25 ± 0.011 *",0.0041,"*"
"SL",5,"Wetting",0.0166144515407521,0.3288,"0.329 ± 0.017 ",NA,NA
"SL",35,"Drying",0.00838093073590278,0.1308,"0.131 ± 0.008 ",0.6369,NA
"SL",35,"Wetting",0.0071386273190299,0.1254,"0.125 ± 0.007 ",NA,NA
"SL",50,"Drying",0.0092,0.0782,"0.078 ± 0.009 *",0.0024,"*"
"SL",50,"Wetting",0.00583438085832593,0.1258,"0.126 ± 0.006 ",NA,NA
"SL",75,"Drying",0.00274954541697351,0.0594,"0.059 ± 0.003 *",0,"*"
"SL",75,"Wetting",0.00336749164809655,0.1478,"0.148 ± 0.003 ",NA,NA
"SL",100,"Drying",0.00540370243444252,0.069,"0.069 ± 0.005 *",0,"*"
"SL",100,"Wetting",0.0101518471225684,0.1854,"0.185 ± 0.01 ",NA,NA
